Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,7.124,7.138,7.106,7.12,167195.15,1191160.45209,3806.0,545695.56319
2022-06-30 17:15:00,7.12,7.171,7.115,7.162,167460.3,1195908.71628,3447.0,754732.79651
2022-06-30 17:30:00,7.163,7.205,7.139,7.148,151255.39,1085902.62247,3906.0,556964.80569
2022-06-30 17:45:00,7.15,7.202,7.146,7.151,122905.74,881380.62423,3258.0,420246.72798
2022-06-30 18:00:00,7.151,7.161,7.118,7.13,125338.97,894964.9757,3364.0,503099.84064
2022-06-30 18:15:00,7.13,7.154,7.088,7.106,153618.44,1093605.04887,3725.0,572554.99739
2022-06-30 18:30:00,7.106,7.12,7.012,7.023,259841.58,1836999.32634,5595.0,580300.37159
2022-06-30 18:45:00,7.023,7.077,7.017,7.072,173279.71,1222852.06216,4142.0,662582.20475
2022-06-30 19:00:00,7.071,7.092,7.045,7.077,150044.59,1060900.41894,3651.0,621808.97731
2022-06-30 19:15:00,7.077,7.16,7.045,7.138,207277.93,1474531.89844,4827.0,910170.43011
2022-06-30 19:30:00,7.136,7.179,7.079,7.09,161051.55,1148797.71744,4342.0,573453.98758
2022-06-30 19:45:00,7.091,7.186,7.087,7.183,154088.66,1098882.5891,3999.0,607754.78147
2022-06-30 20:00:00,7.183,7.206,7.108,7.171,212351.15,1520928.77535,4995.0,792252.93587
2022-06-30 20:15:00,7.171,7.192,7.142,7.148,118109.79,846092.65983,3214.0,401702.74728
2022-06-30 20:30:00,7.149,7.192,7.041,7.07,271344.26,1930035.27241,5369.0,988053.18402
2022-06-30 20:45:00,7.074,7.15,7.04,7.125,269490.5,1910870.05167,6016.0,1015338.48149
2022-06-30 21:00:00,7.125,7.218,7.112,7.184,271026.21,1946113.18903,5733.0,1039625.04763
2022-06-30 21:15:00,7.184,7.195,7.154,7.155,101478.3,728337.52528,2494.0,362291.50451
2022-06-30 21:30:00,7.156,7.211,7.146,7.152,72316.9,519588.24224,2156.0,243775.544
2022-06-30 21:45:00,7.151,7.187,7.129,7.132,94283.74,674754.15356,2497.0,212903.35624
2022-06-30 22:00:00,7.132,7.168,7.103,7.135,122424.11,873709.44633,3845.0,456360.16768
2022-06-30 22:15:00,7.135,7.24,7.126,7.222,158669.33,1141789.92416,4371.0,587677.61338
2022-06-30 22:30:00,7.222,7.281,7.202,7.234,159084.41,1152730.83446,4638.0,547996.37648
2022-06-30 22:45:00,7.234,7.338,7.222,7.266,297813.69,2172490.36466,6585.0,1251531.69952
2022-06-30 23:00:00,7.265,7.297,7.243,7.245,152336.47,1107806.08612,3540.0,676063.96494
2022-06-30 23:15:00,7.246,7.25,7.159,7.182,289425.58,2083228.60477,6200.0,854216.85684
2022-06-30 23:30:00,7.18,7.303,7.171,7.275,192639.29,1397720.53731,4919.0,751914.23482
2022-06-30 23:45:00,7.276,7.62,7.262,7.564,855182.1,6388929.6255,17715.0,3701879.52559
