Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,0.834,0.836,0.832,0.833,118382.2,98665.5264,467.0,50486.9238
2022-06-30 17:15:00,0.832,0.837,0.832,0.835,106260.4,88649.9884,500.0,44871.4432
2022-06-30 17:30:00,0.835,0.84,0.834,0.835,283402.2,237108.2736,978.0,116792.1142
2022-06-30 17:45:00,0.835,0.839,0.834,0.834,163876.2,137035.1023,499.0,43669.4161
2022-06-30 18:00:00,0.834,0.836,0.831,0.832,152031.2,126742.9749,501.0,53454.9524
2022-06-30 18:15:00,0.832,0.834,0.831,0.832,188314.9,156730.9551,596.0,93814.0993
2022-06-30 18:30:00,0.832,0.834,0.824,0.827,242128.7,201040.6744,628.0,59767.1991
2022-06-30 18:45:00,0.826,0.833,0.826,0.83,144899.0,120312.5997,576.0,64161.8647
2022-06-30 19:00:00,0.83,0.833,0.828,0.831,109799.8,91188.1032,499.0,44416.0227
2022-06-30 19:15:00,0.83,0.838,0.827,0.835,186070.8,155134.9872,629.0,93876.2377
2022-06-30 19:30:00,0.834,0.837,0.828,0.829,203821.2,169832.6659,713.0,80345.8485
2022-06-30 19:45:00,0.829,0.836,0.828,0.836,137289.3,114290.2457,566.0,62156.2873
2022-06-30 20:00:00,0.836,0.839,0.83,0.836,230654.2,192509.6008,901.0,86720.847
2022-06-30 20:15:00,0.835,0.837,0.833,0.834,107925.7,90133.7111,471.0,35853.1335
2022-06-30 20:30:00,0.834,0.836,0.823,0.827,213261.9,176726.809,690.0,78919.7147
2022-06-30 20:45:00,0.826,0.831,0.822,0.83,327953.8,271209.4303,1080.0,143630.497
2022-06-30 21:00:00,0.83,0.838,0.829,0.836,221625.7,184920.0302,888.0,81395.2646
2022-06-30 21:15:00,0.835,0.838,0.835,0.836,71259.4,59582.408,313.0,30112.5441
2022-06-30 21:30:00,0.835,0.839,0.834,0.834,172264.7,144178.5009,483.0,82398.2427
2022-06-30 21:45:00,0.833,0.835,0.831,0.832,78487.1,65404.5038,264.0,30152.0534
2022-06-30 22:00:00,0.832,0.834,0.828,0.829,152775.2,126879.2846,661.0,57079.4723
2022-06-30 22:15:00,0.83,0.84,0.83,0.836,175283.8,146572.3815,678.0,71079.2454
2022-06-30 22:30:00,0.836,0.845,0.836,0.842,140275.6,118059.7138,568.0,49819.0505
2022-06-30 22:45:00,0.843,0.847,0.838,0.84,138600.7,116903.5087,536.0,58649.3266
2022-06-30 23:00:00,0.84,0.844,0.839,0.841,107476.2,90467.214,498.0,43020.2783
2022-06-30 23:15:00,0.84,0.841,0.824,0.826,276602.5,229958.2469,786.0,107628.3196
2022-06-30 23:30:00,0.827,0.839,0.825,0.839,203285.4,169561.96,867.0,98240.5459
2022-06-30 23:45:00,0.838,0.864,0.838,0.861,1014137.9,868011.2183,3143.0,417925.8461
2022-07-01 00:00:00,0.861,0.862,0.849,0.857,673252.7,575435.1646,2057.0,313546.5863
2022-07-01 00:15:00,0.857,0.879,0.855,0.873,572370.4,496490.3325,1774.0,265848.6161
2022-07-01 00:30:00,0.873,0.887,0.87,0.872,1060990.8,930410.4373,3173.0,461916.7948
2022-07-01 00:45:00,0.872,0.877,0.869,0.871,365363.9,318934.9685,1222.0,125242.9867
2022-07-01 01:00:00,0.871,0.878,0.869,0.87,382101.2,333558.3388,1389.0,123499.7686
2022-07-01 01:15:00,0.87,0.873,0.867,0.873,234657.6,204252.2392,857.0,88413.4778
2022-07-01 01:30:00,0.872,0.872,0.865,0.869,207742.2,180456.7453,830.0,105568.0879
2022-07-01 01:45:00,0.869,0.871,0.868,0.87,146069.5,127047.9734,551.0,55983.0603
2022-07-01 02:00:00,0.869,0.873,0.866,0.87,178096.4,154784.6294,760.0,85436.9696
2022-07-01 02:15:00,0.871,0.871,0.866,0.867,135145.7,117387.5868,569.0,49310.3989
2022-07-01 02:30:00,0.868,0.868,0.863,0.865,124143.2,107347.2374,517.0,53303.4033
2022-07-01 02:45:00,0.865,0.868,0.863,0.866,200316.3,173351.699,638.0,87274.0503
2022-07-01 03:00:00,0.866,0.867,0.863,0.864,172240.2,148985.7182,681.0,73997.6861
2022-07-01 03:15:00,0.865,0.865,0.859,0.86,232724.9,200574.5476,636.0,68882.4733
2022-07-01 03:30:00,0.86,0.862,0.857,0.859,119542.1,102768.2794,451.0,48051.5089
2022-07-01 03:45:00,0.859,0.859,0.839,0.841,557697.1,472814.9011,1584.0,195251.7254
2022-07-01 04:00:00,0.841,0.842,0.832,0.834,357112.0,299007.0218,1146.0,159226.2696
2022-07-01 04:15:00,0.834,0.835,0.829,0.83,214925.1,178873.4663,796.0,92532.2671
2022-07-01 04:30:00,0.831,0.837,0.83,0.831,250881.4,209254.0819,840.0,105328.53
2022-07-01 04:45:00,0.831,0.832,0.822,0.825,431022.1,356084.9869,1235.0,145608.2194
2022-07-01 05:00:00,0.825,0.828,0.823,0.826,238185.0,196512.7333,705.0,74083.2158
2022-07-01 05:15:00,0.827,0.833,0.823,0.83,269917.0,223514.6731,896.0,117274.3712
2022-07-01 05:30:00,0.83,0.831,0.823,0.828,178518.6,147557.2957,728.0,70716.5935
2022-07-01 05:45:00,0.829,0.831,0.827,0.83,175415.5,145486.7098,595.0,71545.8139
2022-07-01 06:00:00,0.829,0.832,0.829,0.83,120092.0,99727.0273,503.0,45233.8661
2022-07-01 06:15:00,0.83,0.833,0.827,0.832,173018.1,143499.3236,582.0,73987.1896
2022-07-01 06:30:00,0.832,0.834,0.829,0.833,118474.6,98488.3255,427.0,43156.0525
2022-07-01 06:45:00,0.833,0.836,0.831,0.835,91068.5,75860.2232,430.0,33734.0242
2022-07-01 07:00:00,0.835,0.838,0.833,0.837,137898.9,115127.2459,560.0,41949.3881
2022-07-01 07:15:00,0.836,0.847,0.836,0.844,112347.2,94568.1808,559.0,54973.8707
2022-07-01 07:30:00,0.844,0.85,0.843,0.847,178192.0,151035.3887,808.0,60113.0299
2022-07-01 07:45:00,0.846,0.852,0.845,0.85,119343.8,101273.2281,519.0,43827.6144
2022-07-01 08:00:00,0.85,0.856,0.843,0.855,235468.6,199915.4445,888.0,101604.94
2022-07-01 08:15:00,0.855,0.858,0.852,0.853,200769.1,171549.265,764.0,90469.9434
2022-07-01 08:30:00,0.853,0.855,0.848,0.849,126500.0,107702.2653,565.0,49212.6564
2022-07-01 08:45:00,0.848,0.85,0.842,0.843,129523.3,109659.3424,495.0,61919.6857
2022-07-01 09:00:00,0.843,0.845,0.84,0.842,101871.4,85851.0768,471.0,42100.9009
2022-07-01 09:15:00,0.842,0.848,0.841,0.845,125798.1,106314.2135,479.0,71377.4125
2022-07-01 09:30:00,0.845,0.846,0.839,0.841,96612.5,81491.3833,471.0,38376.429
2022-07-01 09:45:00,0.841,0.844,0.838,0.84,142672.3,120021.0685,553.0,31585.707
2022-07-01 10:00:00,0.841,0.841,0.834,0.84,140469.4,117746.8724,544.0,53601.362
2022-07-01 10:15:00,0.84,0.843,0.839,0.841,59748.2,50254.7041,356.0,26478.97
2022-07-01 10:30:00,0.841,0.842,0.824,0.827,422800.9,350707.1303,1249.0,158637.3063
2022-07-01 10:45:00,0.828,0.829,0.822,0.827,336164.0,277705.6804,986.0,103952.4516
2022-07-01 11:00:00,0.827,0.83,0.822,0.828,205435.2,169794.955,710.0,97765.3569
2022-07-01 11:15:00,0.828,0.833,0.826,0.832,155635.7,129080.7583,523.0,77801.6317
2022-07-01 11:30:00,0.832,0.832,0.829,0.83,104971.9,87175.1476,440.0,35457.8096
2022-07-01 11:45:00,0.831,0.832,0.827,0.831,172678.1,143252.9259,479.0,65589.6375
2022-07-01 12:00:00,0.832,0.834,0.83,0.832,74704.3,62131.6159,415.0,28626.5083
2022-07-01 12:15:00,0.832,0.837,0.826,0.834,185870.7,154325.7302,713.0,71447.3641
2022-07-01 12:30:00,0.834,0.837,0.834,0.836,69798.7,58310.6485,359.0,34649.777
2022-07-01 12:45:00,0.836,0.836,0.831,0.832,108381.8,90303.9995,454.0,43014.1157
2022-07-01 13:00:00,0.832,0.837,0.831,0.835,65740.0,54856.7485,358.0,18108.3473
2022-07-01 13:15:00,0.835,0.842,0.835,0.838,103919.6,87183.5301,499.0,47195.0403
2022-07-01 13:30:00,0.839,0.846,0.835,0.844,291193.4,244386.6896,947.0,131658.6639
2022-07-01 13:45:00,0.844,0.849,0.843,0.845,223303.4,188926.5819,961.0,78917.8369
2022-07-01 14:00:00,0.844,0.848,0.838,0.839,246116.2,207410.759,951.0,95962.6393
2022-07-01 14:15:00,0.839,0.843,0.836,0.836,172046.9,144433.0496,631.0,68743.2593
2022-07-01 14:30:00,0.836,0.837,0.831,0.836,188289.0,156966.4613,696.0,68829.3051
2022-07-01 14:45:00,0.835,0.839,0.834,0.837,115299.9,96401.3536,509.0,41576.1835
2022-07-01 15:00:00,0.837,0.844,0.835,0.84,183068.9,153673.4421,662.0,61209.3749
2022-07-01 15:15:00,0.84,0.843,0.836,0.838,203473.1,170868.083,807.0,78192.8842
2022-07-01 15:30:00,0.838,0.843,0.836,0.839,137598.3,115500.0279,528.0,45529.6615
2022-07-01 15:45:00,0.839,0.841,0.834,0.84,203499.7,170303.5471,722.0,94537.2545
2022-07-01 16:00:00,0.839,0.844,0.837,0.843,128042.9,107605.9001,536.0,54716.0322
2022-07-01 16:15:00,0.843,0.848,0.843,0.847,144755.6,122454.0765,535.0,63653.6575
2022-07-01 16:30:00,0.846,0.848,0.842,0.846,125483.9,106040.8498,464.0,45714.1075
2022-07-01 16:45:00,0.846,0.853,0.844,0.846,215733.9,183190.0923,705.0,95020.02
2022-07-01 17:00:00,0.845,0.848,0.843,0.847,135767.3,114770.9963,430.0,65920.0412
2022-07-01 17:15:00,0.846,0.853,0.844,0.85,251411.1,213438.4794,759.0,129716.1512
2022-07-01 17:30:00,0.85,0.857,0.848,0.854,183260.9,156422.7105,559.0,104812.1115
2022-07-01 17:45:00,0.854,0.857,0.853,0.856,95160.6,81367.9843,378.0,53937.0973
2022-07-01 18:00:00,0.855,0.856,0.851,0.852,126777.7,108118.3413,568.0,45189.6284
2022-07-01 18:15:00,0.853,0.858,0.851,0.853,86729.1,74155.579,340.0,44198.1765
2022-07-01 18:30:00,0.854,0.857,0.851,0.852,121816.4,104062.6599,446.0,60419.9847
2022-07-01 18:45:00,0.852,0.855,0.851,0.853,90643.3,77306.9583,355.0,36510.1113
2022-07-01 19:00:00,0.853,0.858,0.851,0.857,96326.0,82263.5096,443.0,46512.4618
2022-07-01 19:15:00,0.857,0.857,0.85,0.851,74527.7,63531.8826,339.0,18991.4594
