Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,44.54,44.63,44.26,44.55,7685.956,341589.48532,1495.0,143700.82894
2022-06-30 17:15:00,44.55,44.98,44.51,44.79,8926.407,399549.73298,1504.0,180270.67697
2022-06-30 17:30:00,44.8,45.19,44.74,44.82,7919.938,356224.85561,1562.0,143682.97263
2022-06-30 17:45:00,44.83,45.18,44.81,44.96,8783.726,395549.05389,1762.0,176616.22344
2022-06-30 18:00:00,44.96,45.13,44.72,44.83,6637.318,298107.47255,1620.0,142033.31738
2022-06-30 18:15:00,44.83,45.09,44.54,44.56,10466.831,468790.02387,2005.0,233483.23798
2022-06-30 18:30:00,44.56,44.73,44.11,44.2,8266.958,367717.77545,2046.0,171563.50411
2022-06-30 18:45:00,44.19,44.59,44.11,44.39,9098.481,403812.50679,1932.0,214128.4699
2022-06-30 19:00:00,44.39,44.55,44.11,44.33,7433.085,329673.38244,1827.0,160688.17189
2022-06-30 19:15:00,44.34,44.9,44.17,44.74,8677.382,387001.55089,2075.0,205232.76438
2022-06-30 19:30:00,44.72,44.94,44.28,44.41,6779.871,302957.43792,1710.0,144042.05686
2022-06-30 19:45:00,44.41,44.96,44.4,44.95,7039.966,314654.60208,1681.0,197821.30932
2022-06-30 20:00:00,44.95,45.05,44.49,44.77,14772.684,661673.85847,2604.0,330278.76259
2022-06-30 20:15:00,44.77,44.95,44.71,44.77,4774.816,214028.22618,1376.0,125154.91762
2022-06-30 20:30:00,44.77,44.83,43.87,44.04,8162.534,361739.13454,2028.0,183813.85996
2022-06-30 20:45:00,44.03,44.3,43.72,44.21,11678.308,513879.57741,2517.0,264117.73
2022-06-30 21:00:00,44.2,44.73,44.11,44.55,9514.035,422910.63743,2281.0,214408.02915
2022-06-30 21:15:00,44.54,44.79,44.49,44.62,4997.277,223045.41743,1138.0,132483.38905
2022-06-30 21:30:00,44.64,44.96,44.56,44.57,6680.919,299487.87514,1176.0,178511.95677
2022-06-30 21:45:00,44.54,44.75,44.36,44.38,3858.079,171849.25376,932.0,68466.3315
2022-06-30 22:00:00,44.39,44.71,44.22,44.51,6322.187,281113.6972,1792.0,157535.54959
2022-06-30 22:15:00,44.51,45.02,44.3,44.78,8202.321,366140.99263,2078.0,175067.55487
2022-06-30 22:30:00,44.79,45.82,44.67,45.31,13513.393,611587.26644,2445.0,365118.48879
2022-06-30 22:45:00,45.3,45.67,45.07,45.17,7199.089,326350.60141,1573.0,152211.00792
2022-06-30 23:00:00,45.18,45.53,45.12,45.25,5442.737,246865.74277,1459.0,125366.28603
2022-06-30 23:15:00,45.25,45.31,43.9,44.19,16400.025,729117.41428,3115.0,317559.05733
2022-06-30 23:30:00,44.18,45.54,44.16,45.14,15836.347,711826.97882,3094.0,406362.98435
