Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,14.544,14.572,14.487,14.53,68587.37,995904.96323,2231.0,265589.53923
2022-06-30 17:15:00,14.529,14.607,14.523,14.576,34116.97,496782.09678,1622.0,277789.04821
2022-06-30 17:30:00,14.577,14.67,14.55,14.558,41995.12,613887.12136,1963.0,331059.80825
2022-06-30 17:45:00,14.558,14.616,14.516,14.523,32422.05,472519.73274,1570.0,271920.13145
2022-06-30 18:00:00,14.523,14.554,14.505,14.505,29816.15,433207.97118,1773.0,219711.97933
2022-06-30 18:15:00,14.507,14.536,14.465,14.485,26634.56,386175.78177,1621.0,211464.00154
2022-06-30 18:30:00,14.485,14.506,14.314,14.333,66838.19,963403.28943,3532.0,388583.87887
2022-06-30 18:45:00,14.334,14.429,14.32,14.386,51813.7,744692.34133,3412.0,411342.46987
2022-06-30 19:00:00,14.384,14.42,14.343,14.39,31765.11,456839.77491,2119.0,228090.16038
2022-06-30 19:15:00,14.394,14.505,14.341,14.463,35628.64,514298.05669,2266.0,283844.79835
2022-06-30 19:30:00,14.461,14.527,14.329,14.363,42336.33,610716.89342,2483.0,266930.49571
2022-06-30 19:45:00,14.365,14.526,14.363,14.516,55160.77,797627.97279,3603.0,483055.67974
2022-06-30 20:00:00,14.52,14.546,14.419,14.51,62635.22,907188.13853,3480.0,522488.69882
2022-06-30 20:15:00,14.509,14.559,14.464,14.469,46216.99,670639.83291,2520.0,348606.59336
2022-06-30 20:30:00,14.468,14.494,14.262,14.302,74329.0,1067776.77297,3765.0,560423.55808
2022-06-30 20:45:00,14.303,14.356,14.203,14.331,103337.46,1475814.11132,4608.0,702965.65332
2022-06-30 21:00:00,14.328,14.516,14.323,14.485,91390.67,1319068.85483,4749.0,726878.10122
2022-06-30 21:15:00,14.484,14.515,14.422,14.428,39798.14,576202.19743,2447.0,283548.33724
2022-06-30 21:30:00,14.429,14.544,14.403,14.408,28917.75,418538.97135,2220.0,200680.1284
2022-06-30 21:45:00,14.408,14.483,14.375,14.376,18103.05,261257.65308,1521.0,152102.27986
2022-06-30 22:00:00,14.376,14.445,14.32,14.398,51718.8,743993.6703,3123.0,421737.43036
2022-06-30 22:15:00,14.395,14.583,14.37,14.501,63744.91,923950.73534,3518.0,424760.91035
2022-06-30 22:30:00,14.5,14.625,14.495,14.54,49159.18,715909.18916,2958.0,300010.9284
2022-06-30 22:45:00,14.542,14.617,14.472,14.488,40543.04,589759.58497,2349.0,274459.09201
2022-06-30 23:00:00,14.485,14.561,14.472,14.479,33614.13,488081.56977,2429.0,223007.45006
2022-06-30 23:15:00,14.479,14.503,14.28,14.342,87259.71,1253953.95092,4458.0,626184.89224
2022-06-30 23:30:00,14.342,14.56,14.331,14.515,98869.88,1430777.60995,3713.0,642853.67796
2022-06-30 23:45:00,14.513,15.025,14.497,14.999,545750.46,8092660.22445,16333.0,4468571.27284
2022-07-01 00:00:00,15.0,15.011,14.877,14.905,209790.63,3131335.12068,9629.0,1409316.33265
2022-07-01 00:15:00,14.902,15.226,14.869,15.117,286202.29,4305026.24647,9843.0,2665896.28214
2022-07-01 00:30:00,15.121,15.399,15.095,15.211,599762.79,9153497.40464,20389.0,4466632.00685
2022-07-01 00:45:00,15.211,15.33,15.19,15.241,131336.94,2004263.48922,5798.0,905054.90867
2022-07-01 01:00:00,15.241,15.318,15.199,15.238,128820.46,1964415.51045,5782.0,840632.48172
2022-07-01 01:15:00,15.24,15.255,15.16,15.255,125461.83,1907618.41321,5097.0,906821.41955
2022-07-01 01:30:00,15.251,15.259,15.14,15.228,74579.07,1133398.55638,3687.0,623229.95051
2022-07-01 01:45:00,15.229,15.244,15.179,15.211,33427.76,508532.22076,2098.0,255470.93647
2022-07-01 02:00:00,15.211,15.283,15.119,15.238,96400.41,1463830.16193,4245.0,696241.00478
2022-07-01 02:15:00,15.238,15.253,15.176,15.193,51609.22,785278.80081,2894.0,438898.7321
2022-07-01 02:30:00,15.193,15.194,15.143,15.167,31621.79,479514.77645,1917.0,216463.58639
2022-07-01 02:45:00,15.167,15.192,15.12,15.151,53528.57,811580.64604,2663.0,385742.10564
2022-07-01 03:00:00,15.148,15.15,15.056,15.106,64923.8,980738.71424,3039.0,424360.02326
2022-07-01 03:15:00,15.104,15.112,15.022,15.043,47656.9,718010.51635,2571.0,352956.79727
2022-07-01 03:30:00,15.04,15.065,14.975,15.01,75062.57,1127920.55644,2222.0,681227.13077
2022-07-01 03:45:00,15.009,15.019,14.744,14.768,233989.91,3475308.10392,7576.0,1402237.98469
2022-07-01 04:00:00,14.766,14.795,14.593,14.613,137572.58,2022592.03943,6570.0,979931.85788
2022-07-01 04:15:00,14.614,14.648,14.549,14.56,91702.02,1338567.44163,4355.0,588734.71942
2022-07-01 04:30:00,14.562,14.668,14.436,14.5,212636.23,3099986.57054,6861.0,1744080.01076
2022-07-01 04:45:00,14.499,14.52,14.39,14.482,112235.05,1622683.20307,5035.0,655188.22885
2022-07-01 05:00:00,14.483,14.52,14.432,14.493,60279.34,872756.55264,3272.0,464269.89427
2022-07-01 05:15:00,14.492,14.583,14.4,14.543,118572.41,1716677.76565,4298.0,766060.71928
2022-07-01 05:30:00,14.543,14.564,14.402,14.526,88889.87,1286046.89107,3866.0,579358.57891
2022-07-01 05:45:00,14.523,14.555,14.49,14.522,35714.29,518862.68267,2058.0,250809.62764
2022-07-01 06:00:00,14.52,14.551,14.491,14.51,32649.93,474158.01364,2163.0,231340.40705
2022-07-01 06:15:00,14.515,14.519,14.412,14.504,51374.1,743070.81316,2642.0,406942.75806
2022-07-01 06:30:00,14.502,14.534,14.474,14.529,26090.95,378351.39547,1506.0,208495.75936
2022-07-01 06:45:00,14.527,14.549,14.468,14.516,23032.26,333935.80249,1576.0,157571.68057
2022-07-01 07:00:00,14.517,14.546,14.444,14.519,32836.28,475979.79534,2322.0,239727.2131
2022-07-01 07:15:00,14.52,14.665,14.51,14.59,86642.13,1265369.18076,3464.0,640522.36207
2022-07-01 07:30:00,14.589,14.685,14.588,14.622,79448.8,1163473.66761,3610.0,619295.02905
2022-07-01 07:45:00,14.619,14.699,14.609,14.67,63612.04,932748.42369,2885.0,521261.0161
2022-07-01 08:00:00,14.669,14.77,14.606,14.733,132537.99,1947124.01133,5084.0,1181240.89907
2022-07-01 08:15:00,14.733,14.781,14.685,14.709,126389.52,1862626.81002,3960.0,1142795.86562
2022-07-01 08:30:00,14.706,14.752,14.605,14.608,62154.29,912257.00787,3232.0,364288.71937
2022-07-01 08:45:00,14.608,14.668,14.573,14.605,53394.0,780664.45299,2612.0,365461.83401
