Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,1.221,1.223,1.215,1.22,173232.0,211170.076,919.0,98214.859
2022-06-30 17:15:00,1.219,1.23,1.217,1.218,376924.0,460872.928,1650.0,251114.194
2022-06-30 17:30:00,1.219,1.228,1.215,1.215,278674.0,340529.854,1351.0,136815.06
2022-06-30 17:45:00,1.215,1.222,1.214,1.216,186050.0,226706.685,966.0,126749.376
2022-06-30 18:00:00,1.217,1.22,1.21,1.213,151723.0,184261.523,920.0,81204.262
2022-06-30 18:15:00,1.212,1.216,1.201,1.204,314327.0,379416.707,1448.0,121448.701
2022-06-30 18:30:00,1.203,1.207,1.191,1.194,303885.0,365010.869,1386.0,129455.661
2022-06-30 18:45:00,1.193,1.204,1.192,1.2,210293.0,252255.714,1173.0,130223.083
2022-06-30 19:00:00,1.201,1.203,1.196,1.201,125431.0,150458.422,848.0,72029.421
2022-06-30 19:15:00,1.201,1.217,1.196,1.213,318933.0,385597.207,1544.0,204118.377
2022-06-30 19:30:00,1.213,1.219,1.2,1.204,273102.0,330926.309,1393.0,170859.744
2022-06-30 19:45:00,1.204,1.217,1.202,1.216,262945.0,318304.767,1487.0,179026.014
2022-06-30 20:00:00,1.216,1.219,1.206,1.215,297715.0,360893.62,1466.0,192791.795
2022-06-30 20:15:00,1.214,1.217,1.209,1.214,236000.0,286295.246,1110.0,151513.841
2022-06-30 20:30:00,1.213,1.215,1.197,1.203,333287.0,402096.644,1626.0,222473.426
2022-06-30 20:45:00,1.203,1.208,1.193,1.204,470381.0,564115.924,2176.0,257843.635
2022-06-30 21:00:00,1.203,1.211,1.199,1.207,364678.0,439774.187,1771.0,193183.015
2022-06-30 21:15:00,1.207,1.208,1.203,1.205,123164.0,148599.094,639.0,64521.817
2022-06-30 21:30:00,1.205,1.215,1.204,1.207,116732.0,141312.667,652.0,66502.246
2022-06-30 21:45:00,1.207,1.21,1.201,1.201,99968.0,120639.026,638.0,57628.017
2022-06-30 22:00:00,1.202,1.205,1.195,1.198,164607.0,197580.346,966.0,101219.614
2022-06-30 22:15:00,1.198,1.216,1.196,1.213,299709.0,361411.712,1393.0,166617.487
2022-06-30 22:30:00,1.213,1.23,1.212,1.223,435314.0,532184.433,1653.0,243051.063
2022-06-30 22:45:00,1.223,1.23,1.217,1.219,255036.0,312105.736,1103.0,154768.705
2022-06-30 23:00:00,1.22,1.226,1.218,1.218,197992.0,241986.656,1050.0,153582.147
2022-06-30 23:15:00,1.218,1.22,1.199,1.201,491668.0,593240.924,1938.0,316721.448
2022-06-30 23:30:00,1.2,1.233,1.2,1.229,465385.0,567433.417,1868.0,326381.378
2022-06-30 23:45:00,1.229,1.264,1.227,1.262,1146449.0,1430952.855,4942.0,770599.977
2022-07-01 00:00:00,1.262,1.266,1.249,1.257,825396.0,1038592.067,3634.0,507316.05
2022-07-01 00:15:00,1.257,1.279,1.252,1.272,872891.0,1104341.966,3361.0,576571.737
2022-07-01 00:30:00,1.272,1.293,1.272,1.277,1154096.0,1478526.968,4884.0,802511.519
2022-07-01 00:45:00,1.277,1.287,1.274,1.279,450912.0,577475.552,2289.0,279305.939
2022-07-01 01:00:00,1.278,1.291,1.278,1.285,449377.0,577789.307,2331.0,292321.199
2022-07-01 01:15:00,1.285,1.289,1.281,1.288,264243.0,339300.866,1471.0,170120.32
2022-07-01 01:30:00,1.288,1.288,1.28,1.286,294410.0,378130.824,1571.0,180821.083
2022-07-01 01:45:00,1.286,1.288,1.283,1.285,155527.0,199906.929,911.0,95221.29
2022-07-01 02:00:00,1.285,1.294,1.281,1.287,315398.0,406020.356,1472.0,204186.975
2022-07-01 02:15:00,1.287,1.292,1.283,1.29,221616.0,285421.343,1241.0,135147.546
2022-07-01 02:30:00,1.289,1.289,1.283,1.286,117353.0,150894.927,823.0,73193.144
2022-07-01 02:45:00,1.286,1.289,1.28,1.282,224472.0,288362.507,1092.0,116293.107
2022-07-01 03:00:00,1.282,1.284,1.272,1.274,316106.0,403889.175,1486.0,128389.08
2022-07-01 03:15:00,1.274,1.276,1.267,1.269,276625.0,351352.168,1313.0,160737.264
2022-07-01 03:30:00,1.27,1.274,1.266,1.266,208591.0,264970.942,1056.0,136160.872
2022-07-01 03:45:00,1.266,1.268,1.237,1.238,696089.0,869741.229,3094.0,375840.284
