Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2023-01-25 03:00:00,1.29,1.29,1.1701,1.22,2852796.1,3526263.55826,15793.0,1623128.22856
2023-01-25 03:15:00,1.22,1.23,1.1634,1.1811,2072887.8,2487249.62837,11920.0,1057074.89889
2023-01-25 03:30:00,1.1802,1.2231,1.1716,1.2189,1408061.8,1693011.38937,7776.0,879852.26726
2023-01-25 03:45:00,1.2172,1.2189,1.1978,1.2053,551361.6,666260.78555,3459.0,243119.27344
2023-01-25 04:00:00,1.2042,1.2354,1.2014,1.2321,983829.6,1196708.71253,6310.0,648095.57618
2023-01-25 04:15:00,1.2322,1.266,1.23,1.239,1438160.4,1794982.47538,9947.0,809005.15239
2023-01-25 04:30:00,1.2383,1.2588,1.2136,1.252,1211111.2,1501060.4776,8121.0,698479.46435
2023-01-25 04:45:00,1.2505,1.2577,1.23,1.2303,496276.9,615865.66643,4224.0,242511.67759
2023-01-25 05:00:00,1.2316,1.2318,1.1739,1.1798,1413237.4,1697992.28861,8276.0,694156.07072
2023-01-25 05:15:00,1.1798,1.2019,1.1593,1.1965,953449.8,1125270.28496,4982.0,485599.05259
2023-01-25 05:30:00,1.1969,1.2034,1.1768,1.1877,592946.1,706379.12706,3537.0,318123.01118
2023-01-25 05:45:00,1.1884,1.1921,1.1636,1.1709,765837.6,899507.89546,5360.0,352183.72665
2023-01-25 06:00:00,1.1705,1.1835,1.1548,1.1799,661987.0,774321.06654,4531.0,334842.46452
2023-01-25 06:15:00,1.1798,1.189,1.1732,1.1867,421425.3,498627.15364,2767.0,174625.61926
2023-01-25 06:30:00,1.1868,1.205,1.1852,1.1857,699084.2,835894.28872,3837.0,419254.86421
2023-01-25 06:45:00,1.1857,1.1956,1.1647,1.1761,804521.5,947631.67871,4622.0,378780.95129
2023-01-25 07:00:00,1.176,1.1951,1.175,1.1879,266791.3,316591.82468,1903.0,145615.96296
2023-01-25 07:15:00,1.1865,1.1883,1.171,1.1762,389144.1,459804.53632,2468.0,177224.29095
2023-01-25 07:30:00,1.1752,1.1837,1.1622,1.1791,483970.7,567712.76862,3274.0,269002.77884
2023-01-25 07:45:00,1.1791,1.1948,1.1791,1.1903,359736.3,427480.03138,2480.0,203690.70185
2023-01-25 08:00:00,1.1897,1.1915,1.1,1.1399,3913889.7,4454912.74681,21626.0,1727265.38065
2023-01-25 08:15:00,1.139,1.1469,1.1171,1.1255,1230538.0,1390375.62615,9895.0,590427.23067
2023-01-25 08:30:00,1.1257,1.13,1.1111,1.1251,1308502.5,1464628.7627,6957.0,592276.90361
2023-01-25 08:45:00,1.1253,1.144,1.125,1.135,611170.5,692903.54284,3935.0,325370.53027
2023-01-25 09:00:00,1.1344,1.1385,1.1059,1.1216,901019.1,1010732.90946,5505.0,363805.69994
2023-01-25 09:15:00,1.1217,1.1301,1.0809,1.108,2637656.8,2898598.57517,15355.0,1196687.80604
2023-01-25 09:30:00,1.1078,1.1107,1.071,1.1049,1901271.2,2069971.34328,11550.0,859303.69883
