Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,3.234,3.249,3.227,3.242,601397.0,1946446.948,4013.0,1196093.066
2022-06-30 17:15:00,3.242,3.26,3.236,3.243,573469.0,1861098.83,3652.0,823625.809
2022-06-30 17:30:00,3.244,3.271,3.241,3.249,573630.0,1869110.928,4016.0,854382.148
2022-06-30 17:45:00,3.248,3.27,3.247,3.252,512983.0,1671745.914,3339.0,1002428.426
2022-06-30 18:00:00,3.252,3.258,3.242,3.242,486292.0,1580116.254,3607.0,639267.928
2022-06-30 18:15:00,3.242,3.251,3.233,3.241,493088.0,1598224.681,3174.0,717231.103
2022-06-30 18:30:00,3.241,3.25,3.207,3.212,939488.0,3034103.233,5110.0,1237988.798
2022-06-30 18:45:00,3.212,3.232,3.206,3.22,615240.0,1981523.478,4241.0,777128.729
2022-06-30 19:00:00,3.221,3.231,3.208,3.218,399613.0,1286566.359,3376.0,585809.853
2022-06-30 19:15:00,3.218,3.252,3.206,3.239,551302.0,1782194.434,4274.0,967736.161
2022-06-30 19:30:00,3.238,3.252,3.211,3.215,504906.0,1631404.969,4016.0,754345.385
2022-06-30 19:45:00,3.216,3.251,3.213,3.248,561300.0,1813897.178,4210.0,965478.9
2022-06-30 20:00:00,3.248,3.257,3.221,3.253,735756.0,2385315.996,5531.0,1295036.179
2022-06-30 20:15:00,3.253,3.258,3.242,3.249,569085.0,1849710.399,4174.0,871071.602
2022-06-30 20:30:00,3.249,3.255,3.203,3.208,829028.0,2673387.017,5551.0,1239423.074
2022-06-30 20:45:00,3.208,3.224,3.179,3.219,1186817.0,3801987.487,8056.0,2070688.226
2022-06-30 21:00:00,3.219,3.258,3.216,3.253,865509.0,2807567.978,5748.0,1501793.873
2022-06-30 21:15:00,3.253,3.262,3.244,3.245,419193.0,1364397.631,3063.0,660079.334
2022-06-30 21:30:00,3.245,3.26,3.235,3.237,193136.0,627534.727,2022.0,283736.181
2022-06-30 21:45:00,3.237,3.249,3.217,3.22,252667.0,816765.593,2265.0,322367.734
2022-06-30 22:00:00,3.22,3.234,3.207,3.22,590663.0,1902521.242,4404.0,1037097.542
2022-06-30 22:15:00,3.221,3.25,3.216,3.238,664944.0,2151324.848,4712.0,1004772.179
2022-06-30 22:30:00,3.238,3.259,3.237,3.245,603021.0,1960618.444,4447.0,769555.662
2022-06-30 22:45:00,3.246,3.266,3.23,3.237,616449.0,2002991.378,4259.0,933608.982
2022-06-30 23:00:00,3.237,3.258,3.232,3.246,352545.0,1144701.678,3301.0,543647.783
2022-06-30 23:15:00,3.246,3.249,3.204,3.214,870202.0,2801969.896,5868.0,1450868.432
2022-06-30 23:30:00,3.213,3.268,3.212,3.263,752836.0,2444289.037,5521.0,1247393.845
2022-06-30 23:45:00,3.262,3.37,3.259,3.335,3391335.0,11269676.87,20141.0,5265706.334
2022-07-01 00:00:00,3.335,3.342,3.294,3.33,2137509.0,7097367.825,11772.0,3706551.26
2022-07-01 00:15:00,3.33,3.433,3.321,3.412,2766152.0,9326873.282,14744.0,5484767.753
2022-07-01 00:30:00,3.413,3.458,3.381,3.393,2727465.0,9307331.2,17655.0,4484184.63
2022-07-01 00:45:00,3.393,3.422,3.378,3.387,1433433.0,4872083.931,10774.0,2330505.955
2022-07-01 01:00:00,3.387,3.42,3.382,3.389,1024258.0,3481215.605,8163.0,1735081.201
2022-07-01 01:15:00,3.389,3.399,3.371,3.396,937051.0,3173211.877,6125.0,1721262.824
2022-07-01 01:30:00,3.395,3.4,3.373,3.395,929558.0,3148559.388,5281.0,1482918.527
2022-07-01 01:45:00,3.395,3.407,3.378,3.385,704158.0,2388779.146,4450.0,1124620.075
2022-07-01 02:00:00,3.385,3.409,3.376,3.398,771139.0,2617322.091,5105.0,1379774.855
2022-07-01 02:15:00,3.398,3.4,3.379,3.387,578077.0,1959750.434,4167.0,927557.137
2022-07-01 02:30:00,3.386,3.389,3.374,3.384,443682.0,1500108.457,3325.0,798792.565
2022-07-01 02:45:00,3.385,3.4,3.376,3.395,815276.0,2763533.921,4832.0,1553801.931
2022-07-01 03:00:00,3.394,3.405,3.38,3.395,813622.0,2760093.402,5138.0,1478533.828
