Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,2.716,2.722,2.709,2.716,36896.2,100185.7519,566.0,45365.7916
2022-06-30 17:15:00,2.716,2.732,2.715,2.726,31539.6,85918.4836,531.0,58158.4907
2022-06-30 17:30:00,2.727,2.753,2.725,2.726,69317.1,189780.4213,842.0,88217.3039
2022-06-30 17:45:00,2.726,2.742,2.721,2.723,33930.2,92716.5548,577.0,40828.1985
2022-06-30 18:00:00,2.724,2.729,2.715,2.718,49913.1,135821.3121,550.0,63533.3968
2022-06-30 18:15:00,2.719,2.726,2.708,2.711,44697.5,121410.037,655.0,63540.0386
2022-06-30 18:30:00,2.71,2.714,2.68,2.681,61684.4,166548.1613,1020.0,79400.0865
2022-06-30 18:45:00,2.681,2.698,2.679,2.695,53666.1,144387.9294,1040.0,72394.5799
2022-06-30 19:00:00,2.695,2.702,2.685,2.695,47308.8,127434.8576,732.0,74452.9345
2022-06-30 19:15:00,2.695,2.726,2.689,2.716,72257.4,195660.0456,875.0,137366.1292
2022-06-30 19:30:00,2.715,2.723,2.69,2.699,67091.3,181538.2602,1176.0,86310.684
2022-06-30 19:45:00,2.697,2.724,2.696,2.724,54616.9,147952.6547,900.0,91493.1804
2022-06-30 20:00:00,2.723,2.73,2.702,2.723,64299.2,174661.8048,1029.0,81683.1454
2022-06-30 20:15:00,2.723,2.731,2.716,2.718,42315.8,115186.9449,877.0,67361.9476
2022-06-30 20:30:00,2.717,2.721,2.67,2.679,79422.8,213921.2024,1179.0,104735.0106
2022-06-30 20:45:00,2.679,2.699,2.67,2.693,101929.9,273398.1553,1327.0,136583.9444
2022-06-30 21:00:00,2.694,2.725,2.692,2.714,84288.8,228393.4609,1090.0,119607.1804
2022-06-30 21:15:00,2.715,2.722,2.707,2.712,36036.4,97768.1524,598.0,49738.0694
2022-06-30 21:30:00,2.714,2.732,2.714,2.716,39453.0,107472.0209,843.0,59490.6885
2022-06-30 21:45:00,2.715,2.728,2.707,2.709,48862.5,132942.4879,550.0,82945.04
2022-06-30 22:00:00,2.709,2.724,2.698,2.706,63816.5,172952.0351,873.0,90239.1388
2022-06-30 22:15:00,2.705,2.753,2.702,2.742,181099.9,494129.6848,1782.0,299951.4307
2022-06-30 22:30:00,2.74,2.771,2.739,2.752,97619.7,269142.2366,1366.0,134943.1753
2022-06-30 22:45:00,2.753,2.772,2.739,2.745,70235.1,193565.5924,964.0,90256.6001
2022-06-30 23:00:00,2.745,2.761,2.742,2.744,47255.4,130054.1933,745.0,59297.3001
2022-06-30 23:15:00,2.744,2.747,2.692,2.703,139905.1,380103.7637,1743.0,129778.2092
2022-06-30 23:30:00,2.704,2.762,2.702,2.757,127372.9,348776.8228,1553.0,209984.7844
2022-06-30 23:45:00,2.756,2.834,2.752,2.818,260683.3,730357.8682,3291.0,304711.4705
2022-07-01 00:00:00,2.819,2.841,2.796,2.824,202414.3,570041.9057,2433.0,329580.1523
2022-07-01 00:15:00,2.825,2.871,2.814,2.853,200905.0,571248.3352,2364.0,271916.9028
2022-07-01 00:30:00,2.853,2.933,2.853,2.926,418642.9,1206801.6812,5026.0,654387.0311
2022-07-01 00:45:00,2.926,2.954,2.878,2.884,345731.0,1009145.983,3708.0,470068.7173
2022-07-01 01:00:00,2.886,2.902,2.87,2.878,165026.7,475725.0653,2211.0,199068.614
2022-07-01 01:15:00,2.879,2.883,2.864,2.873,91482.9,262788.2618,1457.0,153394.817
2022-07-01 01:30:00,2.873,2.873,2.852,2.865,81554.0,233338.2791,1387.0,109441.9802
2022-07-01 01:45:00,2.865,2.87,2.856,2.863,56587.8,162040.7811,761.0,80929.4606
2022-07-01 02:00:00,2.864,2.877,2.854,2.87,58018.5,166217.7845,878.0,72007.824
2022-07-01 02:15:00,2.871,2.879,2.86,2.875,62326.5,178934.4889,1076.0,67728.4592
2022-07-01 02:30:00,2.876,2.876,2.856,2.866,48385.5,138590.3023,905.0,44095.7076
