Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,0.631,0.634,0.631,0.631,153478.6,96993.2474,547.0,47807.3925
2022-06-30 17:15:00,0.632,0.635,0.632,0.634,89763.1,56836.9277,236.0,31101.1689
2022-06-30 17:30:00,0.633,0.638,0.632,0.633,88233.0,56064.6612,297.0,19161.1664
2022-06-30 17:45:00,0.633,0.638,0.633,0.636,134654.1,85687.7014,316.0,46679.3119
2022-06-30 18:00:00,0.635,0.637,0.634,0.634,107801.1,68514.6386,305.0,27229.8753
2022-06-30 18:15:00,0.634,0.636,0.633,0.634,170730.3,108304.7108,390.0,54780.3914
2022-06-30 18:30:00,0.633,0.633,0.627,0.629,159139.1,100419.3598,386.0,39818.1413
2022-06-30 18:45:00,0.628,0.631,0.628,0.63,75445.6,47517.0848,270.0,28981.0634
2022-06-30 19:00:00,0.629,0.632,0.628,0.629,85498.6,53856.7389,267.0,18516.2895
2022-06-30 19:15:00,0.63,0.634,0.628,0.633,138464.5,87491.768,431.0,47836.99
2022-06-30 19:30:00,0.634,0.635,0.628,0.63,131625.2,83242.7724,422.0,39359.2274
2022-06-30 19:45:00,0.629,0.634,0.629,0.634,98119.3,61976.1717,353.0,36374.6439
2022-06-30 20:00:00,0.634,0.637,0.631,0.637,201369.7,127661.791,502.0,64836.5751
2022-06-30 20:15:00,0.636,0.636,0.634,0.635,97252.7,61785.588,261.0,37446.2712
2022-06-30 20:30:00,0.634,0.636,0.627,0.629,135381.9,85462.2229,360.0,43542.4956
2022-06-30 20:45:00,0.628,0.631,0.625,0.628,162468.7,101957.0134,416.0,52384.0533
2022-06-30 21:00:00,0.629,0.634,0.626,0.632,148649.6,93710.6195,380.0,46884.1622
2022-06-30 21:15:00,0.633,0.634,0.632,0.632,38010.5,24064.1475,140.0,10515.9195
2022-06-30 21:30:00,0.633,0.635,0.632,0.632,57246.5,36282.1908,240.0,11209.2712
2022-06-30 21:45:00,0.633,0.634,0.631,0.631,44695.6,28291.2433,131.0,9631.7129
2022-06-30 22:00:00,0.632,0.634,0.63,0.63,69696.1,44061.6556,312.0,19657.9364
2022-06-30 22:15:00,0.631,0.638,0.631,0.637,96347.3,61166.6578,308.0,42944.3721
2022-06-30 22:30:00,0.636,0.642,0.635,0.639,164471.0,105057.6258,413.0,52151.149
2022-06-30 22:45:00,0.639,0.641,0.636,0.636,101804.0,65036.7831,303.0,35789.9893
2022-06-30 23:00:00,0.637,0.641,0.636,0.638,95007.5,60699.6751,322.0,29406.7278
2022-06-30 23:15:00,0.638,0.638,0.629,0.632,144503.2,91530.296,374.0,31770.2356
2022-06-30 23:30:00,0.631,0.64,0.631,0.64,175504.5,111678.8545,359.0,73160.4098
2022-06-30 23:45:00,0.639,0.657,0.639,0.654,489992.3,319036.1651,1125.0,171978.0038
2022-07-01 00:00:00,0.655,0.657,0.651,0.654,353489.5,231240.7414,978.0,115802.0781
2022-07-01 00:15:00,0.655,0.671,0.653,0.666,340670.4,224908.6,920.0,119901.2856
2022-07-01 00:30:00,0.665,0.672,0.663,0.666,483073.2,322031.1744,1319.0,126749.3609
2022-07-01 00:45:00,0.665,0.67,0.664,0.667,266765.8,178147.1869,591.0,91886.8951
2022-07-01 01:00:00,0.667,0.673,0.666,0.667,172450.1,115343.445,489.0,73060.1484
2022-07-01 01:15:00,0.667,0.673,0.666,0.672,151587.5,101497.4924,364.0,56225.556
2022-07-01 01:30:00,0.672,0.673,0.666,0.67,211790.5,141843.0121,482.0,73548.6145
2022-07-01 01:45:00,0.67,0.671,0.667,0.669,131614.8,88073.879,299.0,32680.3027
2022-07-01 02:00:00,0.67,0.673,0.668,0.673,154816.9,103887.2797,355.0,62158.9727
2022-07-01 02:15:00,0.672,0.673,0.67,0.67,142127.2,95457.7164,426.0,26976.5113
2022-07-01 02:30:00,0.67,0.671,0.668,0.67,136638.6,91381.2259,370.0,51607.8127
2022-07-01 02:45:00,0.67,0.673,0.669,0.671,283437.0,190011.0448,641.0,81984.1126
2022-07-01 03:00:00,0.671,0.671,0.667,0.669,131955.7,88268.5677,559.0,33501.3906
2022-07-01 03:15:00,0.669,0.67,0.666,0.666,167609.9,111968.1187,535.0,45824.0959
2022-07-01 03:30:00,0.666,0.668,0.665,0.665,96147.5,64093.4105,345.0,35469.9099
2022-07-01 03:45:00,0.666,0.666,0.656,0.657,212908.4,140523.7769,599.0,53513.6706
2022-07-01 04:00:00,0.656,0.657,0.65,0.652,200314.1,131051.6903,572.0,49187.3173
2022-07-01 04:15:00,0.651,0.652,0.648,0.649,99591.6,64760.2458,373.0,26900.7555
2022-07-01 04:30:00,0.649,0.655,0.648,0.649,138615.9,90243.6741,492.0,52765.2029
2022-07-01 04:45:00,0.649,0.65,0.643,0.644,150176.4,96911.691,404.0,30678.7628
2022-07-01 05:00:00,0.644,0.644,0.64,0.644,148110.4,95083.4753,454.0,40310.0158
2022-07-01 05:15:00,0.644,0.646,0.639,0.645,192035.4,123495.8995,455.0,61448.5314
2022-07-01 05:30:00,0.644,0.645,0.64,0.644,125876.1,80864.8045,333.0,38638.8269
2022-07-01 05:45:00,0.644,0.646,0.641,0.642,98711.9,63557.2634,333.0,25347.638
2022-07-01 06:00:00,0.643,0.645,0.642,0.643,98868.8,63627.4389,279.0,19379.7618
2022-07-01 06:15:00,0.644,0.645,0.64,0.644,69849.2,44907.4871,221.0,20059.2711
2022-07-01 06:30:00,0.645,0.646,0.643,0.646,78719.4,50739.1423,182.0,30275.1485
2022-07-01 06:45:00,0.646,0.646,0.643,0.646,64080.9,41317.9737,200.0,13747.6429
2022-07-01 07:00:00,0.646,0.646,0.642,0.646,108470.2,69910.3965,312.0,33931.4681
2022-07-01 07:15:00,0.646,0.652,0.645,0.651,110373.1,71636.1618,380.0,36955.1763
2022-07-01 07:30:00,0.651,0.657,0.65,0.653,233143.4,152448.9872,593.0,85619.0809
2022-07-01 07:45:00,0.653,0.657,0.652,0.655,149336.3,97748.9672,325.0,52207.5263
2022-07-01 08:00:00,0.655,0.659,0.65,0.658,178127.6,116556.0686,502.0,56823.2713
2022-07-01 08:15:00,0.658,0.661,0.656,0.658,178969.3,117879.1937,409.0,52763.3428
2022-07-01 08:30:00,0.658,0.659,0.652,0.652,93383.0,61242.3331,208.0,26497.9225
2022-07-01 08:45:00,0.652,0.653,0.646,0.648,147958.5,96129.193,335.0,27394.6626
2022-07-01 09:00:00,0.648,0.649,0.645,0.646,136222.7,88119.1954,391.0,33363.6374
2022-07-01 09:15:00,0.647,0.651,0.646,0.648,217259.3,141011.2849,404.0,87490.782
2022-07-01 09:30:00,0.649,0.649,0.643,0.646,235810.1,152355.6891,470.0,42526.2267
2022-07-01 09:45:00,0.645,0.648,0.644,0.645,54708.8,35327.3613,207.0,15199.9187
2022-07-01 10:00:00,0.646,0.647,0.641,0.646,98953.7,63790.3523,301.0,32523.9432
2022-07-01 10:15:00,0.647,0.648,0.646,0.646,86847.0,56157.7571,302.0,17513.0791
2022-07-01 10:30:00,0.645,0.648,0.636,0.637,227333.5,145590.0533,557.0,75193.9821
2022-07-01 10:45:00,0.637,0.638,0.632,0.635,104199.5,66188.2154,345.0,24657.6801
2022-07-01 11:00:00,0.635,0.638,0.631,0.637,103680.3,65819.4617,327.0,34373.449
2022-07-01 11:15:00,0.636,0.639,0.634,0.638,101152.9,64409.3375,241.0,26769.9043
2022-07-01 11:30:00,0.638,0.639,0.637,0.638,79653.5,50808.5727,244.0,21781.0557
2022-07-01 11:45:00,0.638,0.639,0.636,0.639,48943.7,31185.4436,159.0,12533.037
2022-07-01 12:00:00,0.638,0.64,0.637,0.639,76829.4,49042.1538,291.0,23587.1637
2022-07-01 12:15:00,0.639,0.641,0.634,0.638,128356.1,81843.6323,365.0,36828.2921
2022-07-01 12:30:00,0.638,0.641,0.638,0.64,74798.6,47834.466,315.0,26875.1279
2022-07-01 12:45:00,0.64,0.641,0.637,0.638,67640.3,43224.5235,234.0,22033.0291
2022-07-01 13:00:00,0.638,0.64,0.637,0.639,121738.9,77718.9056,400.0,42905.84
2022-07-01 13:15:00,0.638,0.644,0.638,0.641,77014.8,49353.6892,416.0,25863.5827
2022-07-01 13:30:00,0.64,0.647,0.637,0.645,317256.9,203638.7258,632.0,129522.6363
2022-07-01 13:45:00,0.645,0.651,0.645,0.648,246733.1,159919.63,588.0,92763.1439
2022-07-01 14:00:00,0.647,0.65,0.642,0.642,178570.4,115330.4944,436.0,62674.7923
2022-07-01 14:15:00,0.641,0.645,0.639,0.639,176395.2,113286.0897,355.0,56523.3788
2022-07-01 14:30:00,0.638,0.641,0.637,0.64,166100.7,106011.536,315.0,51596.2277
2022-07-01 14:45:00,0.64,0.643,0.639,0.642,93399.0,59861.522,196.0,32327.816
2022-07-01 15:00:00,0.641,0.646,0.639,0.644,104330.3,66979.1208,331.0,26529.403
2022-07-01 15:15:00,0.643,0.645,0.64,0.641,95254.3,61233.625,294.0,25927.07
2022-07-01 15:30:00,0.64,0.645,0.64,0.643,125639.0,80711.4514,410.0,35705.1553
2022-07-01 15:45:00,0.643,0.644,0.638,0.643,191598.8,122828.3148,442.0,55174.7074
2022-07-01 16:00:00,0.643,0.646,0.642,0.645,103028.1,66331.1749,399.0,34872.5565
2022-07-01 16:15:00,0.644,0.647,0.643,0.646,90728.5,58572.7196,250.0,32697.6357
2022-07-01 16:30:00,0.646,0.647,0.644,0.647,81345.3,52516.5516,202.0,26204.8452
2022-07-01 16:45:00,0.647,0.65,0.645,0.645,103214.7,66832.8782,217.0,37914.2665
2022-07-01 17:00:00,0.644,0.647,0.643,0.647,116206.8,75032.8894,341.0,36363.6683
2022-07-01 17:15:00,0.648,0.649,0.646,0.649,72962.9,47271.5722,218.0,27015.4186
2022-07-01 17:30:00,0.649,0.654,0.646,0.65,142057.8,92367.4099,327.0,53767.7405
2022-07-01 17:45:00,0.65,0.653,0.65,0.652,97559.3,63580.5175,274.0,36479.2559
2022-07-01 18:00:00,0.653,0.654,0.65,0.652,111712.4,72805.3585,287.0,36642.5229
2022-07-01 18:15:00,0.652,0.654,0.65,0.652,86905.4,56704.4518,206.0,36953.8344
2022-07-01 18:30:00,0.652,0.654,0.65,0.651,76134.1,49647.7082,168.0,28943.3692
2022-07-01 18:45:00,0.652,0.653,0.65,0.651,28167.9,18344.9973,115.0,7597.7428
2022-07-01 19:00:00,0.652,0.656,0.651,0.655,90480.1,59156.5387,244.0,30530.0494
2022-07-01 19:15:00,0.655,0.655,0.65,0.653,81531.3,53232.3923,223.0,28758.1296
2022-07-01 19:30:00,0.652,0.655,0.651,0.652,107156.5,69916.0706,261.0,40046.1967
2022-07-01 19:45:00,0.652,0.655,0.652,0.655,68626.0,44872.3858,196.0,25869.1215
2022-07-01 20:00:00,0.655,0.66,0.652,0.658,118071.5,77410.4378,370.0,51059.612
2022-07-01 20:15:00,0.659,0.666,0.658,0.663,250807.5,166463.1272,701.0,127548.715
2022-07-01 20:30:00,0.663,0.667,0.661,0.662,175160.3,116259.3782,360.0,62890.2729
2022-07-01 20:45:00,0.661,0.665,0.659,0.659,114726.2,75863.0725,233.0,38733.5953
2022-07-01 21:00:00,0.659,0.662,0.658,0.661,103505.4,68350.9733,222.0,38148.2865
2022-07-01 21:15:00,0.661,0.662,0.658,0.659,50991.1,33657.3902,123.0,3498.3549
2022-07-01 21:30:00,0.658,0.659,0.658,0.659,20383.6,13423.7597,61.0,7480.2431
2022-07-01 21:45:00,0.659,0.659,0.651,0.655,108405.6,70995.5885,255.0,21191.0218
2022-07-01 22:00:00,0.655,0.656,0.651,0.651,80431.9,52571.2953,243.0,9891.3658
2022-07-01 22:15:00,0.652,0.655,0.651,0.653,96250.3,62811.6588,229.0,24621.7914
2022-07-01 22:30:00,0.654,0.66,0.653,0.659,102815.1,67518.9646,220.0,30603.3792
2022-07-01 22:45:00,0.658,0.658,0.654,0.655,63445.0,41660.9517,148.0,20990.4735
2022-07-01 23:00:00,0.655,0.659,0.655,0.659,119054.5,78262.3123,296.0,46656.0188
2022-07-01 23:15:00,0.658,0.661,0.658,0.66,57777.8,38118.4333,164.0,29552.4431
2022-07-01 23:30:00,0.66,0.661,0.659,0.659,60672.9,40034.3929,238.0,12615.4764
2022-07-01 23:45:00,0.66,0.664,0.653,0.657,155997.2,102719.2318,382.0,61108.1652
2022-07-02 00:00:00,0.657,0.66,0.652,0.66,179697.4,117932.5525,433.0,62858.2432
2022-07-02 00:15:00,0.66,0.663,0.655,0.66,125874.9,82930.7673,321.0,36713.2616
2022-07-02 00:30:00,0.661,0.664,0.656,0.663,169102.0,111583.3023,509.0,64948.7791
2022-07-02 00:45:00,0.663,0.663,0.649,0.65,109351.3,71770.5048,379.0,23608.076
2022-07-02 01:00:00,0.65,0.654,0.648,0.65,129842.2,84490.9391,305.0,33812.547
