Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,1.786,1.789,1.779,1.782,264740.0,472307.196,1600.0,224955.628
2022-06-30 17:15:00,1.782,1.793,1.781,1.788,205447.0,367046.911,1298.0,222904.527
2022-06-30 17:30:00,1.788,1.808,1.787,1.79,459211.0,825905.767,2115.0,374299.342
2022-06-30 17:45:00,1.791,1.805,1.79,1.792,356120.0,640108.86,1585.0,292525.026
2022-06-30 18:00:00,1.792,1.794,1.785,1.786,262956.0,470390.012,1531.0,214944.255
2022-06-30 18:15:00,1.785,1.791,1.778,1.781,335487.0,598516.213,1722.0,273968.282
2022-06-30 18:30:00,1.781,1.785,1.762,1.768,514672.0,912955.479,2691.0,401845.905
2022-06-30 18:45:00,1.767,1.776,1.766,1.772,224616.0,397938.226,1596.0,213025.333
2022-06-30 19:00:00,1.771,1.776,1.76,1.766,371377.0,656611.126,1810.0,302219.49
2022-06-30 19:15:00,1.765,1.782,1.755,1.777,486288.0,860858.044,2504.0,465592.849
2022-06-30 19:30:00,1.776,1.786,1.763,1.768,295761.0,524676.219,1803.0,255174.75
2022-06-30 19:45:00,1.768,1.78,1.763,1.779,325945.0,577689.942,1833.0,303320.029
2022-06-30 20:00:00,1.779,1.79,1.769,1.787,319480.0,568394.01,1932.0,311139.66
2022-06-30 20:15:00,1.787,1.796,1.783,1.787,308213.0,551538.844,1928.0,339778.649
2022-06-30 20:30:00,1.786,1.79,1.757,1.766,589582.0,1043915.665,2667.0,437837.017
2022-06-30 20:45:00,1.766,1.773,1.746,1.76,736790.0,1295430.91,3436.0,618206.681
2022-06-30 21:00:00,1.76,1.781,1.757,1.777,591821.0,1048799.506,2630.0,618219.528
2022-06-30 21:15:00,1.777,1.782,1.771,1.773,242832.0,431906.762,1214.0,176394.762
2022-06-30 21:30:00,1.773,1.785,1.766,1.768,209604.0,372384.942,1192.0,144639.791
2022-06-30 21:45:00,1.767,1.779,1.762,1.762,117056.0,207193.074,929.0,98500.773
2022-06-30 22:00:00,1.763,1.773,1.755,1.763,422724.0,745236.014,2178.0,367811.108
2022-06-30 22:15:00,1.762,1.788,1.76,1.778,512398.0,911055.87,2435.0,510305.613
