Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,4.901,4.91,4.87,4.888,248053.2,1212124.3714,3863.0,655102.989
2022-06-30 17:15:00,4.889,4.92,4.884,4.9,189503.9,928899.3269,2902.0,548427.1067
2022-06-30 17:30:00,4.901,4.95,4.897,4.908,271765.6,1339159.3854,5049.0,669255.344
2022-06-30 17:45:00,4.908,4.944,4.9,4.901,177372.9,872728.2702,2963.0,460904.5408
2022-06-30 18:00:00,4.902,4.904,4.864,4.871,307579.4,1501530.0884,4493.0,747184.9553
2022-06-30 18:15:00,4.872,4.895,4.844,4.86,270181.4,1314986.7038,4256.0,645271.2705
2022-06-30 18:30:00,4.859,4.86,4.802,4.817,363016.4,1754815.4963,6815.0,803374.9037
2022-06-30 18:45:00,4.817,4.84,4.803,4.817,233076.8,1123256.5421,4570.0,583019.9113
2022-06-30 19:00:00,4.817,4.853,4.764,4.821,512323.1,2464872.4019,7681.0,1213722.0537
2022-06-30 19:15:00,4.82,4.887,4.779,4.851,438153.5,2119203.0304,7296.0,1058559.0683
2022-06-30 19:30:00,4.849,4.873,4.806,4.821,290347.8,1406468.6315,4710.0,758566.0051
2022-06-30 19:45:00,4.822,4.846,4.784,4.832,272346.0,1311614.0545,4252.0,621539.7689
2022-06-30 20:00:00,4.832,4.847,4.798,4.841,250083.3,1206452.8783,4181.0,568747.4967
2022-06-30 20:15:00,4.84,4.856,4.822,4.831,201304.3,974523.1066,3621.0,510383.7206
2022-06-30 20:30:00,4.831,4.843,4.69,4.745,622071.2,2958905.2119,9435.0,1137559.9918
2022-06-30 20:45:00,4.747,4.757,4.683,4.742,390911.1,1847352.0014,7386.0,874543.1388
2022-06-30 21:00:00,4.742,4.783,4.728,4.766,275619.6,1311802.9128,5666.0,650150.2495
2022-06-30 21:15:00,4.767,4.789,4.763,4.764,162780.8,778161.8375,2792.0,387509.3599
2022-06-30 21:30:00,4.764,4.791,4.755,4.76,115992.7,554118.5569,2557.0,238829.8205
2022-06-30 21:45:00,4.758,4.796,4.749,4.757,183911.4,877507.9912,3678.0,457287.6867
2022-06-30 22:00:00,4.758,4.77,4.71,4.722,223899.3,1060505.9218,4396.0,535474.4666
2022-06-30 22:15:00,4.723,4.77,4.718,4.752,339961.5,1612620.9295,4476.0,822034.727
2022-06-30 22:30:00,4.753,4.794,4.744,4.777,254547.3,1216672.1586,4413.0,556332.2595
2022-06-30 22:45:00,4.777,4.797,4.742,4.755,203684.1,972077.6196,3859.0,485014.7162
2022-06-30 23:00:00,4.756,4.788,4.741,4.754,171726.1,818241.6983,3430.0,364170.9348
2022-06-30 23:15:00,4.754,4.763,4.685,4.717,396504.1,1869461.6809,6550.0,890846.7209
2022-06-30 23:30:00,4.716,4.772,4.703,4.759,339573.4,1609342.5082,6212.0,825281.1088
2022-06-30 23:45:00,4.757,4.936,4.748,4.917,974905.1,4748195.349,18815.0,2330760.2499
2022-07-01 00:00:00,4.917,4.944,4.847,4.918,634879.9,3110320.7356,11967.0,1586037.2612
2022-07-01 00:15:00,4.919,5.05,4.883,4.994,605955.7,2998942.2532,9168.0,1681524.0613
2022-07-01 00:30:00,4.994,5.088,4.98,4.996,954437.1,4791179.8074,13554.0,2313686.1579
2022-07-01 00:45:00,4.996,5.042,4.97,4.982,560009.3,2803292.7444,8281.0,1272528.2758
2022-07-01 01:00:00,4.983,5.027,4.951,4.964,323418.8,1613787.5696,6047.0,801301.8811
2022-07-01 01:15:00,4.964,4.988,4.937,4.98,968308.1,4810380.2365,8134.0,2404705.4789
2022-07-01 01:30:00,4.98,4.98,4.919,4.949,275885.0,1365730.0793,4257.0,628289.8806
2022-07-01 01:45:00,4.948,4.958,4.908,4.927,219871.2,1084774.5711,3592.0,564152.1576
2022-07-01 02:00:00,4.928,4.963,4.918,4.953,292424.4,1445228.2093,4561.0,703406.8275
2022-07-01 02:15:00,4.953,4.96,4.901,4.931,257396.9,1268095.065,3956.0,585121.7066
2022-07-01 02:30:00,4.931,4.937,4.875,4.921,346038.0,1697534.5328,4802.0,905799.0996
2022-07-01 02:45:00,4.921,4.947,4.913,4.93,253012.8,1247366.4314,3353.0,571481.2666
2022-07-01 03:00:00,4.928,4.933,4.868,4.897,263895.7,1293828.2484,4531.0,503659.6331
2022-07-01 03:15:00,4.897,4.913,4.872,4.881,184037.9,900529.1778,3834.0,449004.3891
2022-07-01 03:30:00,4.882,4.885,4.839,4.856,306958.1,1492194.0713,5450.0,620540.6625
2022-07-01 03:45:00,4.857,4.877,4.713,4.724,683409.2,3269618.6012,10135.0,1290873.4911
2022-07-01 04:00:00,4.726,4.737,4.66,4.721,584663.6,2751502.0052,9362.0,1349946.0954
2022-07-01 04:15:00,4.72,4.72,4.683,4.708,284091.9,1335308.5337,4595.0,697756.2801
2022-07-01 04:30:00,4.708,4.746,4.687,4.701,398673.9,1882892.5255,5740.0,947782.3324
2022-07-01 04:45:00,4.702,4.71,4.622,4.662,450387.2,2098316.8052,6535.0,845334.6313
2022-07-01 05:00:00,4.661,4.68,4.64,4.673,264629.1,1232612.351,4827.0,599218.0054
2022-07-01 05:15:00,4.673,4.69,4.629,4.677,345287.7,1609061.4149,5765.0,750159.2302
2022-07-01 05:30:00,4.675,4.686,4.641,4.669,326896.6,1522952.0641,5595.0,747400.7174
2022-07-01 05:45:00,4.67,4.687,4.66,4.684,197449.4,923165.8199,3907.0,441456.8035
2022-07-01 06:00:00,4.682,4.705,4.673,4.691,288300.2,1352148.4456,4448.0,673544.3203
2022-07-01 06:15:00,4.692,4.7,4.653,4.665,304638.5,1422185.8754,5583.0,617040.2894
2022-07-01 06:30:00,4.665,4.7,4.654,4.694,222319.1,1040274.2432,4312.0,546207.9049
2022-07-01 06:45:00,4.694,4.704,4.668,4.684,211396.0,990133.0032,4393.0,482536.5669
2022-07-01 07:00:00,4.684,4.694,4.66,4.687,217614.9,1017645.8442,4410.0,437941.8122
2022-07-01 07:15:00,4.687,4.774,4.685,4.757,490756.3,2324881.5655,6756.0,1302395.7026
2022-07-01 07:30:00,4.756,4.812,4.752,4.758,493081.2,2358905.2575,6566.0,1089646.8049
2022-07-01 07:45:00,4.758,4.802,4.757,4.777,206997.4,990399.4476,3875.0,549976.9218
2022-07-01 08:00:00,4.776,4.808,4.723,4.808,363949.4,1730982.7371,5316.0,808739.7386
2022-07-01 08:15:00,4.808,4.831,4.777,4.817,366692.2,1762762.2637,6084.0,839701.8317
2022-07-01 08:30:00,4.818,4.818,4.76,4.761,290038.2,1387626.3662,4805.0,572161.8767
2022-07-01 08:45:00,4.761,4.779,4.724,4.734,246556.5,1172077.5571,4558.0,520303.8006
2022-07-01 09:00:00,4.733,4.769,4.722,4.746,226128.2,1073174.9111,3432.0,536630.7012
2022-07-01 09:15:00,4.746,4.771,4.735,4.764,165022.6,784839.8378,3100.0,376151.6047
2022-07-01 09:30:00,4.763,4.774,4.725,4.735,223511.5,1061115.3365,3361.0,517404.6942
2022-07-01 09:45:00,4.734,4.768,4.725,4.748,181392.7,861004.4421,3560.0,431451.9892
2022-07-01 10:00:00,4.747,4.774,4.72,4.77,185461.2,879911.5132,3182.0,456137.8155
2022-07-01 10:15:00,4.771,4.781,4.743,4.754,175808.7,836954.3544,2778.0,358086.6229
2022-07-01 10:30:00,4.755,4.763,4.64,4.659,538814.9,2527387.361,8277.0,1080945.1784
2022-07-01 10:45:00,4.658,4.676,4.6,4.633,509580.1,2363186.212,7931.0,943715.4955
2022-07-01 11:00:00,4.635,4.677,4.611,4.673,292148.5,1358333.4968,4973.0,735167.9075
2022-07-01 11:15:00,4.673,4.698,4.658,4.678,264562.4,1239279.0283,4299.0,630587.0729
2022-07-01 11:30:00,4.678,4.714,4.67,4.683,283697.6,1330790.1645,3339.0,608870.3804
2022-07-01 11:45:00,4.684,4.699,4.653,4.685,248268.9,1161327.8444,3281.0,547352.7729
2022-07-01 12:00:00,4.686,4.703,4.681,4.691,138054.0,647616.3473,2503.0,286817.3165
2022-07-01 12:15:00,4.69,4.722,4.665,4.708,289073.5,1357333.1567,4289.0,648259.5142
2022-07-01 12:30:00,4.711,4.73,4.699,4.714,202232.8,953213.0833,5199.0,463769.3125
2022-07-01 12:45:00,4.714,4.718,4.662,4.673,235130.2,1101751.9087,5601.0,454958.2747
2022-07-01 13:00:00,4.673,4.71,4.662,4.699,308577.1,1448383.3775,4382.0,713412.0756
2022-07-01 13:15:00,4.7,4.747,4.696,4.711,255884.1,1208206.1695,4142.0,597070.2736
2022-07-01 13:30:00,4.711,4.745,4.66,4.731,383405.6,1803783.2132,5990.0,834017.9359
2022-07-01 13:45:00,4.731,4.777,4.726,4.741,454428.5,2161087.6082,6925.0,995151.0382
2022-07-01 14:00:00,4.74,4.768,4.705,4.717,296293.7,1402575.3646,5039.0,718810.9991
2022-07-01 14:15:00,4.718,4.75,4.68,4.694,265980.8,1254721.5126,4042.0,596522.0208
2022-07-01 14:30:00,4.693,4.72,4.67,4.706,210336.1,986607.6019,3620.0,553507.9456
2022-07-01 14:45:00,4.706,4.741,4.703,4.729,146904.7,693683.7184,2972.0,330934.3167
2022-07-01 15:00:00,4.729,4.763,4.701,4.736,223011.1,1055544.4053,4885.0,529108.9164
2022-07-01 15:15:00,4.736,4.755,4.72,4.729,136533.5,647002.0921,3042.0,311657.0838
2022-07-01 15:30:00,4.73,4.737,4.7,4.703,154207.9,727358.4824,3251.0,324969.1223
2022-07-01 15:45:00,4.704,4.726,4.674,4.716,204893.8,962152.208,4024.0,440074.3235
2022-07-01 16:00:00,4.715,4.753,4.702,4.738,186904.9,884032.0784,3720.0,421969.9402
2022-07-01 16:15:00,4.736,4.786,4.734,4.782,234818.0,1118222.7586,4442.0,526481.8434
2022-07-01 16:30:00,4.782,4.819,4.754,4.784,372928.5,1787531.1212,5189.0,856578.1177
2022-07-01 16:45:00,4.784,4.895,4.781,4.833,499391.8,2419966.1034,7131.0,1231344.0966
2022-07-01 17:00:00,4.832,4.918,4.826,4.883,406312.5,1980183.4491,6597.0,977838.1655
2022-07-01 17:15:00,4.883,4.907,4.809,4.816,343448.7,1667823.7109,5457.0,694479.743
2022-07-01 17:30:00,4.817,4.852,4.765,4.844,349676.7,1684428.2383,4985.0,742541.3415
2022-07-01 17:45:00,4.845,4.865,4.834,4.844,178747.9,866612.2826,2906.0,423564.9356
2022-07-01 18:00:00,4.845,4.854,4.802,4.82,164251.3,792856.6395,2791.0,374817.0986
2022-07-01 18:15:00,4.822,4.849,4.8,4.819,107187.9,517216.5223,2264.0,252563.2251
