Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,4.945,4.952,4.919,4.935,247423.9,1220795.5744,3848.0,533548.5182
2022-06-30 17:15:00,4.935,4.956,4.925,4.945,308076.6,1521434.2374,4176.0,760326.2033
2022-06-30 17:30:00,4.947,4.98,4.932,4.935,328531.3,1629636.5324,4530.0,731343.4861
2022-06-30 17:45:00,4.936,4.963,4.913,4.916,270327.2,1336045.7227,3930.0,659774.7639
2022-06-30 18:00:00,4.916,4.927,4.896,4.898,281435.4,1382021.0123,4120.0,679563.3849
2022-06-30 18:15:00,4.898,4.919,4.855,4.866,479856.7,2345743.3389,5690.0,860200.3722
2022-06-30 18:30:00,4.866,4.888,4.82,4.827,571477.6,2772823.5307,7332.0,1101554.2845
2022-06-30 18:45:00,4.827,4.861,4.822,4.847,279151.9,1352742.0953,4868.0,669681.517
2022-06-30 19:00:00,4.846,4.858,4.819,4.841,301161.8,1457011.826,4715.0,695659.1524
2022-06-30 19:15:00,4.841,4.881,4.813,4.855,371274.8,1800571.2075,5952.0,952285.2948
2022-06-30 19:30:00,4.855,4.876,4.804,4.813,378713.7,1834229.6701,5405.0,932409.3999
2022-06-30 19:45:00,4.813,4.861,4.806,4.857,312247.6,1508706.004,5227.0,834373.1567
2022-06-30 20:00:00,4.859,4.886,4.837,4.876,474778.5,2307313.1631,7037.0,1345307.2513
2022-06-30 20:15:00,4.877,4.901,4.868,4.885,413553.8,2020168.899,6573.0,1224546.4867
2022-06-30 20:30:00,4.885,4.894,4.807,4.821,404375.9,1959488.8211,6080.0,1013728.2577
2022-06-30 20:45:00,4.821,4.866,4.777,4.86,688420.5,3317600.8231,9939.0,1631145.6714
2022-06-30 21:00:00,4.86,4.893,4.834,4.883,544276.4,2648046.2605,7339.0,1256823.7196
2022-06-30 21:15:00,4.883,4.888,4.862,4.865,169889.1,828564.1626,2810.0,373763.6827
2022-06-30 21:30:00,4.864,4.906,4.864,4.868,179598.9,877888.0137,3412.0,452859.7408
