Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,53.11,53.28,53.0,53.16,10566.817,561682.28798,2388.0,312051.9301
2022-06-30 17:15:00,53.18,53.46,52.89,53.2,11432.739,607414.24647,2583.0,255877.79746
2022-06-30 17:30:00,53.2,53.66,53.14,53.19,5626.645,300351.80923,1705.0,144040.59215
2022-06-30 17:45:00,53.19,53.6,53.18,53.3,5285.112,282168.49166,1778.0,156203.26878
2022-06-30 18:00:00,53.31,53.45,52.92,52.99,9704.608,515934.33944,2591.0,252521.0307
2022-06-30 18:15:00,53.0,53.22,52.92,52.98,7533.428,399868.42672,2327.0,212746.46489
2022-06-30 18:30:00,52.97,53.16,52.58,52.68,12649.18,668900.02131,3086.0,343778.06991
2022-06-30 18:45:00,52.67,52.99,52.62,52.8,7250.592,382897.49385,2155.0,221155.80545
2022-06-30 19:00:00,52.8,52.92,52.58,52.79,8592.081,453188.69337,2451.0,251381.78551
2022-06-30 19:15:00,52.79,53.35,52.56,53.12,13481.683,714432.724,3082.0,355204.54791
2022-06-30 19:30:00,53.11,53.29,52.62,52.75,9054.906,480112.04894,2539.0,249515.51398
2022-06-30 19:45:00,52.75,53.24,52.64,53.24,7773.009,411428.4814,2289.0,251183.63591
2022-06-30 20:00:00,53.22,53.38,52.8,53.28,8274.37,439419.14882,2855.0,221574.64513
2022-06-30 20:15:00,53.28,53.5,53.12,53.16,7548.053,402420.60053,2233.0,243866.36359
2022-06-30 20:30:00,53.15,53.25,52.36,52.58,10281.423,542658.3737,2855.0,254731.89612
2022-06-30 20:45:00,52.57,52.81,52.22,52.38,13945.702,731702.65966,3598.0,384374.57941
2022-06-30 21:00:00,52.37,53.05,52.35,52.89,9102.22,480347.33609,2883.0,231737.77065
2022-06-30 21:15:00,52.89,53.16,52.87,52.98,6388.149,338758.97546,1767.0,121332.08777
2022-06-30 21:30:00,52.98,53.22,52.81,52.81,7645.886,405358.76567,1751.0,145148.51567
2022-06-30 21:45:00,52.82,53.07,52.65,52.65,2849.804,150800.13747,985.0,77934.35554
2022-06-30 22:00:00,52.65,52.9,52.06,52.17,9772.108,511943.05158,2806.0,213733.1604
2022-06-30 22:15:00,52.17,53.15,52.14,52.99,11575.364,609112.27332,2596.0,278371.1143
2022-06-30 22:30:00,52.99,53.59,52.89,53.31,7278.511,387859.20401,2141.0,210201.30434
2022-06-30 22:45:00,53.31,53.54,52.87,52.96,6133.422,326429.96774,1869.0,130584.89566
2022-06-30 23:00:00,52.97,53.31,52.91,52.95,4885.508,259459.7459,1494.0,127791.41525
2022-06-30 23:15:00,52.95,53.0,51.87,51.93,12284.865,643286.19318,3542.0,270422.1626
2022-06-30 23:30:00,51.94,53.28,51.89,53.12,12608.247,665657.07537,3263.0,361601.49853
2022-06-30 23:45:00,53.12,55.01,53.04,54.5,29256.472,1588640.41257,7369.0,851903.56662
2022-07-01 00:00:00,54.5,55.3,54.0,54.81,29932.337,1634973.03568,6399.0,905662.22593
2022-07-01 00:15:00,54.8,56.17,54.69,55.86,26446.256,1462947.8332,5475.0,922881.61866
2022-07-01 00:30:00,55.87,56.64,55.43,55.71,32167.406,1800002.93335,7331.0,863573.14102
2022-07-01 00:45:00,55.72,56.35,55.35,55.5,15510.627,866399.28218,4406.0,405119.03089
2022-07-01 01:00:00,55.53,55.93,55.27,55.4,13066.693,726304.50448,3953.0,361911.31284
2022-07-01 01:15:00,55.41,55.63,55.24,55.58,11357.454,629668.34613,2784.0,434542.10396
2022-07-01 01:30:00,55.57,55.57,55.03,55.28,9770.941,539882.87059,2680.0,286034.58466
2022-07-01 01:45:00,55.28,55.28,55.01,55.11,5304.277,292424.02788,1731.0,153732.94362
2022-07-01 02:00:00,55.12,55.4,54.99,55.26,7851.445,433123.86024,2313.0,238942.76949
2022-07-01 02:15:00,55.26,55.41,54.97,55.22,8491.29,468778.54686,2139.0,184315.07473
2022-07-01 02:30:00,55.22,55.25,54.81,54.92,6578.029,361547.87141,1794.0,131642.87169
2022-07-01 02:45:00,54.93,55.22,54.8,55.12,7208.758,396441.00474,2088.0,192632.38493
2022-07-01 03:00:00,55.12,55.15,54.74,54.92,6641.32,364746.22787,2039.0,156060.98253
2022-07-01 03:15:00,54.92,55.02,54.46,54.47,7739.996,424179.10726,2339.0,215019.28249
2022-07-01 03:30:00,54.47,54.68,54.26,54.36,7729.528,420769.86159,2103.0,240055.28606
2022-07-01 03:45:00,54.36,54.48,53.15,53.22,15511.855,833365.71153,4367.0,324082.48034
2022-07-01 04:00:00,53.21,53.77,52.92,53.29,21277.332,1135232.17059,5202.0,560339.35683
2022-07-01 04:15:00,53.26,53.27,52.43,52.61,17432.592,922526.98281,4167.0,399164.55368
2022-07-01 04:30:00,52.63,53.56,52.59,52.93,17462.694,928158.47388,4065.0,541070.52181
2022-07-01 04:45:00,52.92,52.98,52.41,52.45,11091.535,583531.3735,3046.0,217975.98509
2022-07-01 05:00:00,52.42,52.55,52.09,52.41,11855.343,620477.59574,3169.0,303427.2754
2022-07-01 05:15:00,52.4,52.79,52.01,52.62,13326.349,697700.22195,3025.0,355053.45758
2022-07-01 05:30:00,52.6,52.71,51.92,52.71,15535.403,812126.89469,3399.0,441275.7186
2022-07-01 05:45:00,52.71,53.07,52.68,52.91,8293.225,438450.46366,2309.0,219684.59066
2022-07-01 06:00:00,52.89,52.97,52.74,52.86,8692.992,459429.01206,2421.0,183704.26732
2022-07-01 06:15:00,52.86,52.95,52.18,52.92,14096.525,741033.80777,3491.0,400685.63999
2022-07-01 06:30:00,52.9,52.97,52.58,52.82,7675.291,404988.77158,1900.0,196229.59694
2022-07-01 06:45:00,52.83,52.91,52.57,52.74,4184.349,220440.7515,1575.0,112656.19247
2022-07-01 07:00:00,52.72,52.91,52.44,52.84,4070.53,214318.59694,1561.0,114466.61076
2022-07-01 07:15:00,52.83,53.64,52.8,53.56,10302.38,549154.28465,3045.0,299976.65724
2022-07-01 07:30:00,53.56,54.55,53.4,54.04,21188.484,1143566.3728,4485.0,650805.9919
2022-07-01 07:45:00,54.03,54.1,53.72,53.77,7682.235,414411.79543,2095.0,166070.6548
2022-07-01 08:00:00,53.77,54.28,53.43,54.19,11220.164,603357.74471,3042.0,303935.85669
2022-07-01 08:15:00,54.19,54.48,53.89,54.25,9572.442,519247.89848,2387.0,297109.21783
2022-07-01 08:30:00,54.2,54.22,53.56,53.66,8569.749,461756.80539,2368.0,226465.63307
2022-07-01 08:45:00,53.67,54.01,53.27,53.47,9001.935,482737.64898,2392.0,232150.50186
2022-07-01 09:00:00,53.46,53.55,53.18,53.33,7609.581,406118.69969,2650.0,229881.28126
2022-07-01 09:15:00,53.34,53.73,53.22,53.52,9625.274,514685.0926,2521.0,230542.70158
2022-07-01 09:30:00,53.53,53.55,53.19,53.4,5414.727,289049.72821,1720.0,156663.1563
2022-07-01 09:45:00,53.4,53.64,53.2,53.28,4660.568,248843.14239,1528.0,116494.52191
2022-07-01 10:00:00,53.28,53.42,53.0,53.36,5666.82,301835.70659,1920.0,141849.47776
2022-07-01 10:15:00,53.36,53.57,53.32,53.34,4182.864,223452.82685,1250.0,87757.69764
2022-07-01 10:30:00,53.33,53.53,52.31,52.56,14676.742,773757.1601,3519.0,358155.41558
2022-07-01 10:45:00,52.56,52.65,52.03,52.18,15019.855,785698.60516,3235.0,301143.26546
2022-07-01 11:00:00,52.21,52.83,51.99,52.5,12031.078,631152.80584,3176.0,375039.52487
2022-07-01 11:15:00,52.5,52.84,52.39,52.73,5888.146,309874.76214,1877.0,173058.19048
2022-07-01 11:30:00,52.74,52.9,52.56,52.76,4400.565,231940.62363,1339.0,112158.89608
