Date,Open,High,Low,Close,Volume,quote_av,trades,tb_quote_av
2022-06-30 17:00:00,0.3315,0.3319,0.3299,0.3307,1231552.1,407691.05616,1590.0,221697.74462
2022-06-30 17:15:00,0.3307,0.3334,0.3305,0.3317,906901.2,300776.90619,1200.0,185554.35652
2022-06-30 17:30:00,0.3318,0.3351,0.3315,0.3321,984778.2,328185.48985,1381.0,205918.55078
2022-06-30 17:45:00,0.3321,0.3345,0.332,0.3323,583509.7,194489.78123,858.0,92062.11774
2022-06-30 18:00:00,0.3325,0.333,0.3295,0.3299,749350.9,248160.09418,1064.0,116405.37716
2022-06-30 18:15:00,0.3298,0.3304,0.3281,0.3287,847452.4,279137.45785,1073.0,179108.49398
2022-06-30 18:30:00,0.3287,0.3298,0.3255,0.3258,1482995.0,486554.22082,1614.0,225842.29004
2022-06-30 18:45:00,0.3259,0.3284,0.3256,0.3278,1470156.5,480937.60325,1516.0,229885.04016
2022-06-30 19:00:00,0.3277,0.3282,0.3245,0.326,1303183.2,424928.4696,1489.0,211413.19109
2022-06-30 19:15:00,0.3261,0.3293,0.3248,0.3286,947403.8,310141.2327,1353.0,190790.73765
2022-06-30 19:30:00,0.3284,0.3296,0.3265,0.3278,1622396.7,532910.26323,1452.0,274705.87663
2022-06-30 19:45:00,0.3279,0.3316,0.3278,0.3315,1306609.9,430889.07874,1499.0,269501.76823
2022-06-30 20:00:00,0.3315,0.3324,0.3284,0.3284,1346917.3,444482.98151,1610.0,206390.98148
2022-06-30 20:15:00,0.3284,0.3302,0.3265,0.327,1350491.1,443266.66444,1621.0,204326.67052
2022-06-30 20:30:00,0.3269,0.3282,0.322,0.3226,1824031.2,592823.31359,2124.0,271809.58077
2022-06-30 20:45:00,0.3227,0.3241,0.32,0.3229,2381474.0,767125.43578,2591.0,401260.50213
2022-06-30 21:00:00,0.3228,0.3268,0.3225,0.3251,1463297.7,475137.39025,1926.0,225338.62757
2022-06-30 21:15:00,0.325,0.3252,0.322,0.3226,1669177.3,540304.64547,1427.0,267318.22898
2022-06-30 21:30:00,0.3225,0.324,0.3188,0.3194,1848939.0,595367.89299,1843.0,235778.08004
2022-06-30 21:45:00,0.3197,0.3212,0.3183,0.3184,1941567.3,620459.61718,1874.0,323811.14
2022-06-30 22:00:00,0.3185,0.3218,0.3183,0.319,2532859.1,810651.93636,2905.0,425051.33816
2022-06-30 22:15:00,0.319,0.3201,0.3161,0.3161,2871077.9,913978.38357,3055.0,337022.13495
2022-06-30 22:30:00,0.3162,0.3205,0.316,0.3194,1904425.7,606428.44137,2316.0,301666.44451
2022-06-30 22:45:00,0.3193,0.3195,0.3167,0.3172,1369064.7,435789.80886,1814.0,211922.8753
2022-06-30 23:00:00,0.3171,0.3199,0.3168,0.3183,1122320.3,357855.02432,1543.0,206834.46934
2022-06-30 23:15:00,0.3182,0.3182,0.3124,0.3143,3468947.2,1090739.85815,3502.0,561892.61995
2022-06-30 23:30:00,0.3141,0.3202,0.314,0.3187,2232430.8,709010.92298,2741.0,371434.53207
2022-06-30 23:45:00,0.3188,0.329,0.3183,0.3286,7435134.2,2421514.57546,6799.0,1314148.75051
2022-07-01 00:00:00,0.3285,0.3287,0.3231,0.3254,3800333.3,1236404.8113,4071.0,480949.61062
2022-07-01 00:15:00,0.3253,0.3294,0.3237,0.3281,3366864.0,1098509.70855,3463.0,519034.32978
2022-07-01 00:30:00,0.3283,0.3333,0.3258,0.328,4859925.8,1600617.47211,4769.0,805922.69015
2022-07-01 00:45:00,0.3281,0.331,0.3257,0.3268,2709216.1,889321.40866,2797.0,445138.24803
2022-07-01 01:00:00,0.3269,0.3294,0.3255,0.3264,1753581.3,574116.96079,1959.0,310817.24646
2022-07-01 01:15:00,0.3263,0.3275,0.3252,0.3269,1008526.1,329104.13934,1426.0,206986.29387
2022-07-01 01:30:00,0.3268,0.3268,0.323,0.3242,1455896.6,472434.46774,1814.0,249024.62762
2022-07-01 01:45:00,0.3244,0.3248,0.3225,0.3247,1317943.6,426697.7031,1775.0,235530.88191
2022-07-01 02:00:00,0.3247,0.3299,0.3238,0.3296,3075085.5,1005800.43306,3342.0,621802.11968
2022-07-01 02:15:00,0.3295,0.3348,0.3288,0.3312,2935917.5,974676.34465,3321.0,585585.58808
2022-07-01 02:30:00,0.3312,0.3312,0.3274,0.3281,1392470.5,457697.19315,1668.0,189097.84775
2022-07-01 02:45:00,0.3282,0.3285,0.3262,0.3266,1485032.6,485893.19756,1613.0,176461.15807
2022-07-01 03:00:00,0.3265,0.3297,0.3261,0.3296,1501347.7,491521.12569,1821.0,284415.04669
2022-07-01 03:15:00,0.3296,0.3306,0.3285,0.3295,1377907.2,454140.72187,1874.0,241092.9364
2022-07-01 03:30:00,0.3295,0.3306,0.3275,0.329,1184952.1,390238.0804,1502.0,218181.97999
2022-07-01 03:45:00,0.3289,0.3291,0.3189,0.3191,3011194.3,971718.46767,3437.0,399707.69296
2022-07-01 04:00:00,0.3191,0.3196,0.3145,0.315,2556770.4,809571.72404,3871.0,398639.79063
2022-07-01 04:15:00,0.315,0.3159,0.3126,0.3141,2593471.8,814200.23687,3264.0,460101.41664
2022-07-01 04:30:00,0.3142,0.3177,0.3134,0.3139,1703627.5,537914.80991,2066.0,247982.51365
2022-07-01 04:45:00,0.3139,0.3144,0.3064,0.3074,3865995.8,1194927.07297,4371.0,463355.59605
2022-07-01 05:00:00,0.3073,0.3081,0.304,0.306,3102021.7,947607.71806,3671.0,437714.12056
2022-07-01 05:15:00,0.3061,0.3073,0.3031,0.3062,2910768.7,888453.85192,3167.0,483262.58776
2022-07-01 05:30:00,0.3061,0.3076,0.3036,0.3069,2580559.1,789364.53061,2619.0,395242.04024
2022-07-01 05:45:00,0.307,0.3074,0.3049,0.3063,1541988.2,472615.4858,1491.0,184176.1912
2022-07-01 06:00:00,0.3063,0.308,0.3058,0.3078,1791871.1,549644.9006,2141.0,280553.17398
2022-07-01 06:15:00,0.3079,0.3079,0.3037,0.3061,2123331.0,648957.41589,2305.0,315904.10879
2022-07-01 06:30:00,0.3061,0.3083,0.3052,0.3079,1937690.2,594372.68542,1944.0,371259.01695
2022-07-01 06:45:00,0.3078,0.3083,0.3063,0.3076,1551393.8,476824.2513,1453.0,209686.08735
2022-07-01 07:00:00,0.3076,0.3084,0.3055,0.3074,1562152.7,479251.0941,1721.0,226579.06118
2022-07-01 07:15:00,0.3073,0.3108,0.307,0.31,2098760.5,649259.36835,2177.0,344158.37278
2022-07-01 07:30:00,0.31,0.3138,0.3096,0.3111,2698064.7,841573.56844,2688.0,431174.51825
2022-07-01 07:45:00,0.3111,0.3119,0.3093,0.3098,1356153.9,421414.9549,1613.0,168836.39199
2022-07-01 08:00:00,0.3098,0.3113,0.3065,0.311,2561975.0,789884.62999,2935.0,384179.11065
2022-07-01 08:15:00,0.3106,0.3109,0.3085,0.3091,2122646.7,657771.8492,2021.0,344396.3408
2022-07-01 08:30:00,0.309,0.3104,0.306,0.3064,1458356.4,449391.57053,1561.0,206771.09756
2022-07-01 08:45:00,0.3062,0.3081,0.305,0.3053,1827196.5,559812.8679,1692.0,247584.70688
2022-07-01 09:00:00,0.3053,0.3062,0.3037,0.3046,1528485.1,466390.20713,2035.0,245020.66235
2022-07-01 09:15:00,0.3045,0.3069,0.3042,0.3051,867322.7,265019.1739,1221.0,159940.09509
2022-07-01 09:30:00,0.3051,0.3064,0.3036,0.3042,1500114.3,457512.54412,1638.0,243675.28747
2022-07-01 09:45:00,0.3043,0.3067,0.3039,0.306,1367513.0,418050.23663,1662.0,246684.45442
2022-07-01 10:00:00,0.3061,0.3066,0.3034,0.3058,1409558.1,430208.24977,1617.0,206471.56759
2022-07-01 10:15:00,0.3058,0.3067,0.3045,0.3048,1045778.0,319794.63751,1119.0,159614.2845
2022-07-01 10:30:00,0.3048,0.3057,0.2994,0.3004,4051423.3,1222379.79374,3617.0,595080.33777
2022-07-01 10:45:00,0.3003,0.3025,0.2985,0.2996,2494645.1,749064.70437,2568.0,350626.73135
2022-07-01 11:00:00,0.2996,0.302,0.2981,0.3007,1553638.2,466791.42005,1878.0,262041.71633
2022-07-01 11:15:00,0.3007,0.3028,0.3007,0.3023,1145771.3,345891.45008,1558.0,197974.50116
2022-07-01 11:30:00,0.3022,0.3027,0.3011,0.3018,1157412.1,349408.95974,1214.0,149067.48568
2022-07-01 11:45:00,0.3017,0.3027,0.3003,0.3018,1258944.2,379358.71268,1474.0,196216.60244
2022-07-01 12:00:00,0.3018,0.3023,0.2997,0.3004,1397639.4,420652.76449,1614.0,156260.98585
2022-07-01 12:15:00,0.3002,0.3021,0.2973,0.3001,2437559.2,730425.41469,2448.0,344826.98163
2022-07-01 12:30:00,0.3001,0.3021,0.2998,0.3009,1843126.4,554370.98252,1601.0,314128.96596
2022-07-01 12:45:00,0.301,0.3021,0.3,0.301,1332718.0,401344.1498,1480.0,264612.07473
2022-07-01 13:00:00,0.3009,0.302,0.3,0.3012,1046290.8,314903.41542,1372.0,165289.57272
2022-07-01 13:15:00,0.3013,0.3048,0.3012,0.3029,1704557.8,516941.51442,1723.0,296462.56861
2022-07-01 13:30:00,0.3029,0.3054,0.3015,0.3047,2568884.3,779113.46202,2179.0,372626.63785
2022-07-01 13:45:00,0.3048,0.307,0.3036,0.3041,2639693.9,806694.55759,2469.0,368252.89995
2022-07-01 14:00:00,0.3041,0.3054,0.3018,0.3022,1672104.6,507441.47159,1785.0,227402.71126
2022-07-01 14:15:00,0.3024,0.3031,0.3001,0.3006,1552975.2,468183.67338,1616.0,232820.88212
2022-07-01 14:30:00,0.3007,0.3014,0.2993,0.3008,1720367.8,516449.5324,1629.0,225748.58786
2022-07-01 14:45:00,0.301,0.302,0.3003,0.3011,909328.3,273900.4643,1052.0,145116.16077
2022-07-01 15:00:00,0.3011,0.3042,0.3002,0.3019,1334113.7,403046.13495,1489.0,208340.69532
2022-07-01 15:15:00,0.302,0.3032,0.3006,0.301,690857.8,208480.55315,955.0,115512.54828
2022-07-01 15:30:00,0.3012,0.3037,0.3006,0.3023,1253792.8,378860.81102,1144.0,177956.06587
2022-07-01 15:45:00,0.3022,0.3027,0.3,0.3022,1260728.1,379664.56057,1434.0,183055.47867
2022-07-01 16:00:00,0.302,0.3038,0.301,0.3035,1243629.9,376110.01267,1737.0,171287.53337
2022-07-01 16:15:00,0.3036,0.305,0.3032,0.3047,1185004.5,360525.76545,1293.0,178435.14755
2022-07-01 16:30:00,0.3046,0.3049,0.3029,0.3043,781635.7,237704.04601,934.0,106588.66972
2022-07-01 16:45:00,0.3044,0.3064,0.3034,0.3037,1063489.0,324547.49907,1184.0,178787.2408
2022-07-01 17:00:00,0.3036,0.305,0.3031,0.3045,791267.1,240482.62036,992.0,96920.04201
2022-07-01 17:15:00,0.3046,0.3056,0.3033,0.3047,648200.0,197594.10205,889.0,111181.31238
2022-07-01 17:30:00,0.3047,0.3068,0.3032,0.3053,1274907.1,389464.56665,1421.0,191943.14942
2022-07-01 17:45:00,0.3054,0.3065,0.3047,0.3059,903129.4,275967.66689,1071.0,141393.24396
2022-07-01 18:00:00,0.3058,0.3064,0.3047,0.3059,741592.7,226555.60759,1010.0,113468.24014
2022-07-01 18:15:00,0.3058,0.3074,0.3055,0.3057,670267.2,205473.02332,914.0,113530.60749
2022-07-01 18:30:00,0.3058,0.307,0.3056,0.306,667762.1,204455.41951,721.0,89259.65341
2022-07-01 18:45:00,0.306,0.3067,0.3052,0.3062,547983.4,167690.65711,706.0,82421.09563
2022-07-01 19:00:00,0.3062,0.308,0.3052,0.3072,633477.7,194189.20039,962.0,78120.10978
2022-07-01 19:15:00,0.3073,0.3075,0.305,0.3053,616503.3,188548.53721,810.0,78926.45338
2022-07-01 19:30:00,0.3056,0.3069,0.3048,0.3055,609869.4,186375.05499,724.0,84885.58639
2022-07-01 19:45:00,0.3057,0.3071,0.3055,0.307,492584.0,150902.42968,712.0,79781.82575
2022-07-01 20:00:00,0.3071,0.3091,0.306,0.3078,1155911.7,355622.31182,1338.0,135599.16439
2022-07-01 20:15:00,0.3079,0.3112,0.3075,0.3105,2319588.5,719068.20668,2242.0,361311.17321
2022-07-01 20:30:00,0.3106,0.3115,0.3086,0.3088,1061229.1,328756.49932,1068.0,153155.79699
2022-07-01 20:45:00,0.3089,0.3107,0.3077,0.308,681923.5,210748.8036,1013.0,122103.51002
2022-07-01 21:00:00,0.3084,0.3099,0.308,0.3099,438100.4,135254.05372,712.0,81827.60597
2022-07-01 21:15:00,0.3098,0.3099,0.3074,0.3076,467083.8,144035.12625,596.0,57549.27327
2022-07-01 21:30:00,0.3078,0.3079,0.3066,0.3072,417918.0,128373.82985,553.0,56910.45012
2022-07-01 21:45:00,0.3072,0.3076,0.3035,0.3063,1247102.5,380536.8898,1421.0,138743.80242
2022-07-01 22:00:00,0.3064,0.3067,0.3041,0.3053,902865.0,275642.68418,1035.0,141025.55841
2022-07-01 22:15:00,0.3054,0.3059,0.3048,0.3052,507203.1,154873.15378,642.0,79500.959
2022-07-01 22:30:00,0.3053,0.3079,0.3052,0.3077,464239.4,142310.35816,593.0,95359.00004
2022-07-01 22:45:00,0.3077,0.3079,0.3043,0.3051,587116.2,179655.45941,700.0,91227.71267
2022-07-01 23:00:00,0.3049,0.3069,0.3049,0.3065,712677.5,217844.8553,808.0,120609.8366
2022-07-01 23:15:00,0.3065,0.3075,0.3056,0.3066,753564.7,231009.42911,840.0,114062.68852
2022-07-01 23:30:00,0.3066,0.3075,0.3062,0.3065,366318.2,112386.47962,498.0,55354.71109
2022-07-01 23:45:00,0.3066,0.3084,0.3018,0.305,1396936.0,425418.39896,1844.0,248124.98002
2022-07-02 00:00:00,0.3052,0.3076,0.3019,0.3073,1667667.5,508870.99082,2192.0,260246.98622
2022-07-02 00:15:00,0.3074,0.3088,0.3036,0.3082,1755320.2,537623.69262,2021.0,253995.66142
2022-07-02 00:30:00,0.3082,0.3088,0.3048,0.3074,1770177.1,543229.75931,2037.0,280114.97878
2022-07-02 00:45:00,0.3073,0.3074,0.3008,0.3012,950364.6,288794.50295,1231.0,125942.88781
2022-07-02 01:00:00,0.3012,0.3023,0.2992,0.2994,1180399.1,354976.4586,1549.0,137734.20186
2022-07-02 01:15:00,0.2995,0.3015,0.2994,0.3012,775471.4,233218.10536,796.0,121774.32204
2022-07-02 01:30:00,0.3015,0.3032,0.3012,0.3021,635912.3,192108.69824,865.0,109623.19585
2022-07-02 01:45:00,0.3023,0.3043,0.3014,0.3015,865654.8,262046.69205,1023.0,127344.78215
